id,y_2022
2,750600
3,6954752
4,
5,185265
6,556032
7,
8,893580
9,64860
10,855628
11,337264
12,1101476
13,1321260
14,1546020
15,53723
16,1177224
17,564868
18,1142271
19,381465
20,706146
21,1097728
22,1558900
23,577412
24,71750
25,426503
26,379260
27,388260
28,
29,88205
30,1607164
31,357600
32,
33,743032
34,362421
35,159225
36,280120
37,403312
38,184192
39,336150
40,981690
41,429364
42,594713
43,183924
44,549231
45,1465884
46,831155
47,1552160
48,568654
49,457748
50,683895
51,739404
52,709188
53,883570
54,
55,158775
56,212253
57,377232
58,298870
59,1153910
60,1536458
61,69230
62,
64,2027376
65,1650816
66,1420152
67,1086246
68,994840
69,840420
70,180018
71,1308398
72,1838252
73,250404
74,255816
75,451696
76,306816
77,1804491
78,540624
79,760149
80,1608000
81,
82,1065600
83,362752
84,95250
85,472590
86,1431100
87,339020
88,129519
89,252450
90,599460
91,425537
92,1915012
93,668828
94,148567
95,710144
96,2398400
97,853632
98,344850
99,253251
100,342472
101,546457
102,203580
103,754470
105,
106,426855
107,1020312
108,409885
109,336959
110,815074
111,1652800
112,
113,618715
114,381300
115,1119081
116,746940
117,908124
118,39900
119,134229
120,509486
121,1169016
122,
123,477428
124,404800
125,601208
126,263675
127,974306
128,603988
129,240572
130,96921
131,246210
132,149192
133,313368
134,416936
135,596820
136,290466
137,366739
138,44924
139,462160
140,435685
141,193828
142,973414
143,
144,1005928
145,
146,482517
147,366873
148,370862
149,228459
150,329472
151,692445
152,131705
153,382375
154,890675
155,988617
156,311244
157,371713
158,554990
159,292825
160,502572
161,1459887
162,477630
163,687150
164,1232319
165,894969
166,295882
167,214830
168,418608
169,747354
170,131516
171,455616
172,1754024
173,109620
174,
175,247520
176,366706
177,220401
178,2576650
179,
180,139605
181,527220
182,103334
183,407779
184,181374
185,1437938
186,263408
187,342360
188,516060
189,1253745
190,319841
191,513000
192,469938
193,561936
194,427520
195,1811340
196,188552
197,537152
198,591098
199,1224996
200,434946
201,203515
202,256498
203,206100
204,372762
205,
206,631971
207,2968064
208,
209,1033248
210,1550715
211,413236
212,340624
213,
215,
216,120666
217,
218,885171
219,677044
220,560626
221,1150460
222,
223,401157
224,1042250
225,265268
226,202680
227,
228,
229,513703
230,1304490
231,797590
232,1156221
233,974592
234,626510
235,495012
236,1533438
237,602550
238,336591
240,519114
241,
242,317110
243,
244,202266
245,229622
246,1169428
247,335608
248,1039012
249,529947
250,185736
251,141960
252,
253,556700
254,940884
255,944968
256,566832
257,1599261
258,440019
259,1263557
260,647791
261,264032
262,
263,120469
264,455928
265,243648
266,520331
267,702658
268,311220
269,490345
270,677925
271,134010
272,1215320
273,285760
274,617176
275,753408
276,
277,
278,915120
279,427424
280,440572
281,526847
282,607011
283,447512
284,1160080
285,
286,
287,1425875
288,291927
289,476293
290,381840
291,1182885
292,310450
293,265550
294,331584
295,218500
296,111462
297,
298,636256
299,656200
300,615081
301,335172
302,527560
303,916883
304,287370
305,
306,135888
307,923788
308,
309,198470
310,277242
311,394565
312,496392
313,227500
314,609686
315,1663288
316,815321
317,124372
318,212090
319,465578
320,51636
321,415858
322,186147
323,247500
324,60840
325,506544
326,207383
327,427108
328,
329,248850
330,486336
331,1452176
332,355446
333,139740
334,629736
335,332464
336,1285098
337,399600
338,2178472
339,2266740
343,741129
344,515928
345,582208
346,515032
347,550406
348,228150
349,1141200
350,394848
351,212394
352,766320
353,
354,1141584
355,1489880
356,646344
357,710185
358,2684146
359,74250
360,363168
361,1020960
362,720525
363,983620
364,62680
365,272952
366,300564
367,3450720
368,596755
369,216225
370,920272
371,1625897
372,1591370
373,55076
374,575680
375,96252
376,824286
377,827640
378,1745280
379,7000
380,287712
381,2276911
382,335738
383,668676
385,971202
386,564569
387,637024
388,1793790
389,2225064
390,514577
391,14000
392,845736
393,2336631
394,629706
395,1047865
396,123702
397,1441260
398,173676
399,692113
400,49420
401,102008
402,180795
403,
404,482183
405,538020
406,332332
407,
408,
409,
410,381420
411,234715
412,
413,64290
416,907744
417,451814
418,497252
419,
420,674342
421,
422,1255135
423,
424,
425,
426,518616
428,
430,1482088
431,339882
432,96514
433,
434,202089
435,
436,
437,949080
438,700212
442,221125
443,148137
444,505859
445,253100
446,
447,441365
448,1398438
449,
450,127280
451,238000
452,109446
453,459486
454,160394
455,147026
456,1433745
457,
458,103395
459,165802
460,340868
462,
463,389088
464,1239672
465,411271
466,283480
467,495000
468,
469,
470,239260
471,1359774
472,
473,360329
474,263436
475,430828
476,11664450
