id,y_2022
2,15.61
3,81.82
4,9.12
5,3.59
6,11.0
7,6.71
8,17.56
9,5.29
10,26.51
11,16.71
12,16.25
13,25.01
14,28.22
15,13.56
16,34.2
17,23.1
18,23.89
19,28.44
20,21.29
21,20.58
22,14.58
23,10.15
24,9.18
25,22.52
26,24.96
27,19.07
28,7.88
29,8.29
30,15.87
31,13.84
32,2.44
33,7.72
34,22.04
35,18.0
36,19.29
37,14.41
38,17.78
39,17.05
40,23.43
41,9.15
42,19.85
43,6.98
44,9.62
45,44.18
46,12.67
47,14.73
48,13.62
49,14.66
50,14.98
51,13.35
52,10.09
53,19.4
54,15.3
55,11.0
56,6.34
57,9.99
58,9.66
59,21.87
60,13.13
61,6.4
62,0.56
64,18.39
65,10.46
66,16.89
67,9.91
68,20.65
69,10.83
70,9.98
71,28.98
72,24.27
73,22.26
74,8.0
75,15.24
76,21.49
77,32.86
78,17.5
79,11.23
80,23.28
81,8.95
82,21.36
83,11.58
84,3.71
85,8.84
86,17.86
87,10.58
88,8.3
89,8.29
90,11.65
91,17.77
92,21.3
93,8.3
94,7.02
95,16.89
96,55.99
97,27.74
98,23.23
99,14.49
100,12.74
101,9.97
102,6.43
103,13.11
105,15.54
106,6.98
107,11.72
108,11.65
109,15.38
110,18.34
111,37.75
112,13.37
113,29.43
114,6.2
115,32.44
116,29.05
117,24.89
118,10.15
119,12.12
120,10.86
121,16.36
122,0.0
123,15.47
124,8.37
125,18.89
126,10.14
127,16.88
128,13.87
129,17.31
130,17.41
131,14.85
132,4.92
133,5.96
134,11.67
135,9.07
136,14.14
137,11.38
138,4.97
139,12.53
140,21.43
141,7.17
142,19.35
143,10.09
144,16.24
145,13.67
146,10.86
147,14.95
148,17.44
149,7.69
150,8.05
151,25.68
152,4.7
153,29.71
154,20.96
155,28.1
156,30.84
157,7.27
158,20.76
159,9.02
160,15.76
161,16.42
162,15.31
163,10.9
164,28.58
165,15.55
166,5.97
167,4.41
168,12.04
169,16.82
170,8.72
171,8.64
172,32.75
173,6.33
174,10.32
175,17.24
176,22.03
177,21.83
178,28.2
179,12.86
180,10.71
181,19.31
182,6.54
183,5.61
184,11.3
185,15.13
186,17.84
187,5.3
188,11.84
189,6.21
190,6.2
191,14.05
192,25.19
193,8.35
194,19.2
195,22.48
196,11.78
197,14.63
198,11.79
199,28.49
200,7.97
201,16.57
202,8.73
203,12.06
204,12.23
205,7.24
206,12.32
207,30.01
208,10.43
209,25.18
210,15.69
211,19.44
212,9.06
213,9.8
215,7.07
216,5.33
217,7.74
218,18.86
219,8.97
220,14.68
221,15.71
222,11.39
223,16.24
224,16.79
225,6.35
226,3.97
227,14.06
228,8.43
229,31.24
230,18.5
231,13.21
232,28.77
233,18.26
234,26.76
235,14.29
236,12.57
237,25.39
238,14.66
240,12.95
241,9.06
242,11.86
243,4.89
244,13.13
245,7.95
246,17.72
247,4.99
248,12.36
249,9.24
250,5.8
251,11.51
252,7.78
253,15.33
254,7.96
255,19.97
256,53.41
257,24.61
258,32.25
259,18.0
260,22.82
261,17.16
262,22.73
263,16.61
264,12.15
265,8.54
266,19.62
267,42.06
268,15.14
269,18.85
270,9.03
271,8.66
272,13.31
273,18.78
274,5.41
275,15.28
276,12.19
277,15.71
278,11.78
279,7.16
280,11.93
281,8.44
282,13.24
283,18.43
284,18.87
285,0.0
286,5.53
287,16.92
288,15.61
289,33.18
290,4.91
291,13.09
292,6.52
293,5.22
294,7.15
295,8.31
296,14.34
297,1.89
298,7.1
299,20.27
300,5.95
301,16.16
302,17.18
303,10.24
304,4.96
305,7.75
306,4.65
307,22.24
308,6.89
309,14.84
310,14.94
311,7.15
312,11.69
313,13.5
314,10.99
315,15.86
316,21.91
317,2.66
318,12.29
319,18.83
320,7.38
321,7.12
322,5.44
323,18.39
324,12.05
325,18.44
326,6.02
327,9.09
328,12.25
329,12.96
330,16.46
331,11.77
332,12.38
333,19.42
334,7.51
335,23.94
336,39.0
337,13.15
338,13.25
339,12.92
343,15.51
344,11.32
345,11.63
346,20.64
347,5.31
348,22.54
349,14.59
350,10.04
351,10.13
352,12.09
353,17.63
354,12.64
355,20.08
356,34.29
357,17.53
358,31.26
359,17.49
360,30.73
361,14.32
362,17.81
363,18.57
364,18.75
365,11.02
366,6.4
367,43.63
368,22.14
369,6.13
370,15.31
371,43.59
372,74.54
373,22.83
374,15.66
375,20.87
376,24.93
377,40.49
378,40.59
379,24.36
380,39.35
381,31.67
382,12.86
383,26.49
385,28.11
386,14.33
387,17.76
388,17.6
389,62.87
390,13.59
391,17.42
392,65.47
393,45.46
394,22.6
395,20.63
396,21.32
397,15.45
398,6.05
399,14.49
400,20.79
401,14.26
402,11.12
403,17.2
404,11.2
405,23.04
406,17.56
407,11.8
408,24.39
409,21.23
410,12.78
411,7.09
412,4.95
413,21.39
416,9.7
417,20.2
418,20.59
419,20.76
420,18.62
421,15.66
422,21.33
423,22.28
424,10.7
425,11.83
426,16.67
428,13.03
430,29.29
431,16.07
432,16.94
433,5.22
434,27.38
435,4.59
436,10.61
437,38.4
438,26.14
442,15.4
443,7.77
444,19.51
445,20.1
446,8.24
447,30.42
448,25.88
449,21.78
450,25.28
451,33.46
452,10.81
453,17.27
454,10.75
455,16.45
456,13.44
457,6.39
458,7.67
459,15.04
460,21.06
462,26.52
463,13.0
464,28.46
465,9.05
466,16.22
467,17.71
468,1.15
469,14.72
470,16.17
471,18.14
472,10.07
473,16.65
474,13.98
475,14.22
476,122.09
