id,y_2011,y_2013,y_2015,y_2016,y_2020,y_2022,y_2023
203,3,34,25,19,21,48,43
204,5,3,16,1,20,19,23
205,4,0,1,2,16,4,4
206,1,3,9,0,3,1,1
207,1,3,19,2,4,32,34
208,23,16,15,5,36,39,49
209,65,24,80,41,34,91,92
210,2,6,15,3,8,4,6
211,99,59,121,60,59,135,152
212,117,109,186,202,115,151,89
213,23,19,25,24,72,49,17
215,12,15,7,5,13,13,9
216,8,10,17,4,15,10,14
217,15,8,8,14,25,7,19
218,61,23,52,28,43,55,34
219,32,23,47,99,39,131,158
220,127,100,98,82,45,117,72
221,90,19,51,51,83,48,34
222,21,7,18,9,18,9,6
223,489,217,171,169,131,271,192
224,28,8,8,13,11,17,24
225,2,0,1,0,0,,0
226,50,10,11,25,20,23,20
227,140,37,116,50,229,408,356
228,0,0,1,0,0,18,8
229,5,83,101,60,207,452,443
230,126,196,303,353,107,122,83
231,42,9,6,15,35,76,29
232,166,69,201,218,67,148,120
233,24,14,22,6,15,26,20
234,222,123,91,104,154,142,228
235,62,21,40,23,62,46,101
236,2,2,3,1,0,14,2
237,137,132,166,173,155,195,243
238,168,149,182,211,171,229,260
240,153,85,169,120,164,373,400
241,5,2,6,1,8,23,8
242,104,37,77,32,153,218,136
243,4,2,1,1,42,53,25
244,155,66,145,60,199,266,84
245,99,35,71,53,40,46,85
246,45,19,44,19,38,45,50
247,8,3,5,12,18,71,149
248,24,0,20,15,12,14,37
249,79,18,24,18,16,76,61
250,24,13,29,29,28,25,12
251,88,44,50,79,55,88,45
252,25,16,35,15,7,13,12
253,2,4,14,4,6,11,8
254,15,5,19,3,29,96,36
255,24,6,16,8,35,27,22
256,7,0,17,3,1,,34
257,7,8,15,5,20,24,40
258,489,155,169,143,169,181,221
259,187,145,195,179,112,103,53
260,281,114,239,108,134,347,269
261,282,37,128,36,87,216,77
262,79,15,22,23,22,52,52
263,29,19,30,15,34,45,36
264,40,5,61,28,17,36,33
265,81,33,54,28,33,38,44
266,65,27,40,106,31,85,77
267,38,40,49,41,44,59,40
268,222,200,116,69,58,98,68
269,33,23,38,6,37,22,39
270,2,0,14,1,5,5,3
271,311,101,126,138,64,124,189
272,12,5,27,0,11,20,57
273,10,9,10,6,26,30,52
274,0,1,7,1,5,27,10
275,20,14,56,19,28,51,35
276,176,30,52,50,29,48,76
277,76,5,31,29,16,21,15
278,20,20,22,11,28,109,71
279,3,1,9,2,4,8,11
280,90,60,116,32,100,231,163
281,11,18,7,20,12,84,62
282,71,44,47,36,69,115,111
283,207,130,127,116,115,196,87
284,1,2,5,3,6,8,3
285,5,2,38,1,,27,67
286,3,2,3,9,2,43,92
287,2,0,101,,,8,23
288,6,8,15,,,10,11
289,189,23,65,53,63,161,123
290,81,34,142,74,72,194,140
291,58,15,36,14,26,86,139
292,211,75,84,107,79,108,103
293,212,140,125,164,121,157,170
294,102,38,83,76,75,49,98
295,43,62,43,80,62,64,59
296,71,10,10,19,19,27,29
297,0,0,1,0,0,15,0
298,2,0,82,,,4,1
299,248,181,130,158,218,98,101
300,0,0,,,,,0
301,326,103,84,99,153,58,64
302,3,5,5,4,5,21,2
303,6,5,20,2,9,40,33
304,13,5,17,3,7,11,13
305,77,40,42,51,34,50,46
306,22,5,29,16,44,28,132
307,309,242,310,208,166,296,241
308,45,6,12,2,15,49,42
309,11,3,7,1,14,10,10
310,27,12,40,8,23,13,26
311,271,121,136,102,122,241,244
312,302,80,102,93,47,147,127
313,123,49,98,59,47,75,63
314,127,95,202,75,40,95,120
315,77,66,68,42,74,120,145
316,139,127,143,76,112,89,184
317,59,27,100,59,80,121,84
318,40,42,37,27,81,98,94
319,290,82,248,163,106,278,179
320,48,29,32,31,68,89,126
321,222,94,198,138,140,203,374
322,140,88,100,53,45,88,71
323,231,109,223,113,67,206,190
324,54,9,13,12,18,26,34
325,267,107,92,97,123,148,279
326,71,37,107,115,72,109,106
327,144,101,142,129,63,178,202
328,104,31,67,61,70,63,127
329,190,77,200,138,106,71,70
330,112,98,103,203,131,114,114
331,49,26,98,44,63,263,229
332,56,76,50,54,49,59,86
333,224,158,294,146,178,154,189
334,5,0,,0,2,8,1
335,46,6,23,,,35,27
336,64,20,37,18,46,58,56
337,20,31,24,22,32,38,45
338,38,4,41,18,7,13,5
339,60,33,30,5,28,22,28
343,197,172,210,112,71,150,227
344,182,157,116,213,77,175,289
