id,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2021,y_2022,y_2023
2,0.48,0.36,0.39,0.37,1.33,1.54,0.39,0.59,0.58
3,0.68,0.83,1,0.96,1.13,1.11,1.05,1.12,1.04
4,0.29,0.35,0.35,0.33,0.47,0.53,0.32,0.32,0.3
5,0.31,0.3,0.34,0.37,0.14,0.15,0.25,0.27,0.27
6,0.56,0.53,0.59,0.53,0.5,0.58,0.53,0.6,0.63
7,0.2,0.14,0.18,0.18,0.14,,0.06,0.09,0.14
8,0.14,0.12,0.17,0.21,0.16,0.12,0.11,0.21,0.24
9,0.06,0.07,0.08,,,,,0.09,0.12
10,0.94,0.78,0.66,0.69,0.58,0.6,0.69,0.74,0.46
11,0.57,0.47,0.62,0.62,0.75,0.71,0.66,0.67,0.67
12,0.93,1.01,1.08,1.14,1.12,1.31,1.2,1.3,1.33
13,0.4,0.46,0.66,0.79,0.66,0.62,0.67,0.93,1.02
14,1.35,1.27,1.32,1.3,1.37,1.16,0.83,1.08,0.94
15,0.37,0.43,0.41,0.34,0.3,0.28,0.35,0.31,0.32
16,1.48,1.47,1.5,1.6,2.21,2.4,1.76,1.96,1.73
17,1.31,1.21,1.07,0.97,1.13,1.16,1.2,1.22,1.16
18,0.54,0.65,0.77,0.87,0.95,0.79,0.57,0.86,0.78
19,0.8,0.71,0.77,0.86,0.6,0.49,0.55,0.53,0.56
20,0.84,0.84,0.92,0.97,0.79,0.59,0.77,0.91,1.09
21,0.99,1.05,1,0.81,0.6,0.64,0.73,0.91,0.7
22,0.13,0.12,0.11,0.13,,,0.06,0.07,
23,0.39,0.46,0.53,0.46,0.36,0.43,0.35,0.43,0.36
24,0.34,0.24,0.24,0.18,,0.11,0.24,0.12,0.13
25,1.13,1.1,1.3,1.55,1.14,1.06,1.39,1.47,1.28
26,0.93,0.81,0.71,0.72,0.63,0.65,0.68,0.51,0.48
27,1.21,1.44,1.46,1.77,1.26,1.35,1.06,1.02,0.99
28,0.34,0.37,0.34,0.34,0.25,0.21,0.13,0.14,0.18
29,0.38,0.34,0.39,0.26,0.33,0.3,0.29,0.34,0.34
30,0.53,0.68,0.61,0.68,0.59,0.6,,0.7,0.7
31,0.44,0.49,0.49,0.51,0.41,0.4,0.53,0.65,0.52
32,0.05,0.05,,,,,,,0.06
33,0.21,0.22,0.17,0.14,0.22,0.19,0.2,0.25,0.33
34,0.84,0.74,0.71,0.84,1.09,1.28,1.45,1.29,1.4
35,0.38,0.41,0.43,0.36,0.48,0.61,0.54,0.63,0.56
36,0.35,0.28,0.36,0.36,0.44,0.4,0.35,0.34,0.3
37,0.43,0.38,0.35,0.4,0.37,0.42,0.26,0.33,0.3
38,0.48,0.46,0.45,0.43,0.76,0.64,0.34,0.42,0.46
39,1.28,1.29,1.18,1.22,1.06,1.07,1.07,1.08,1.18
40,1.04,1.12,0.97,0.83,0.89,0.75,0.89,0.91,0.83
41,0.27,0.27,0.28,0.29,0.15,0.23,0.17,0.21,0.24
42,0.57,0.6,0.68,0.65,0.59,0.6,0.66,0.8,0.66
43,0.51,0.55,0.53,0.64,0.45,0.35,0.4,0.45,0.5
44,0.08,0.09,0.08,0.1,,,0.17,0.14,0.18
45,0.98,1.06,1.03,1.22,1.39,1.47,1.24,1.51,1.29
46,0.66,0.56,0.43,0.5,0.58,0.66,0.41,0.58,0.52
47,,,0.06,,0.11,0.12,0.06,0.05,0.07
48,0.65,0.76,0.8,0.89,0.71,0.68,0.7,0.93,0.89
49,0.53,0.6,0.59,0.65,0.86,0.82,0.84,0.99,0.82
