id,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2021,y_2022,y_2023
100,0.07,0.16,0.24,0.23,0.18,0.18,0.14,0.26,0.16
101,0.19,0.16,0.2,0.15,0.27,0.22,0.32,0.23,0.28
102,0.19,0.12,0.19,0.14,0.12,0.14,0.15,0.15,0.23
103,0.21,0.15,0.19,0.2,0.19,0.22,0.11,0.15,0.2
105,0.06,,0.05,0.12,,,0.11,0.19,0.09
106,0.06,0.09,,,,,0.15,0.16,0.18
107,0.26,0.29,0.22,0.24,0.27,0.17,0.2,0.22,0.24
108,0.2,0.18,0.09,0.15,0.18,0.14,0.15,0.28,0.26
109,0.24,0.15,0.14,,0.2,0.12,0.13,0.19,0.22
110,0.11,0.14,0.12,0.11,0.17,0.17,0.17,0.19,0.19
111,0.2,0.25,0.35,0.36,0.56,0.41,0.61,0.64,0.67
112,0.08,0.08,0.11,0.14,0.12,,0.12,0.19,0.19
113,0.26,0.5,0.47,0.52,0.47,0.48,0.65,0.55,0.63
114,0.12,0.07,0.08,0.12,,0.11,0.15,0.24,0.21
115,0.46,0.51,0.65,0.46,0.86,0.78,1.07,1.13,1.08
116,0.26,0.25,0.21,0.23,0.27,0.2,0.38,0.48,0.47
117,0.43,0.58,0.44,0.56,0.69,0.61,0.71,0.85,0.96
118,0.19,0.14,0.14,0.13,0.19,0.14,0.07,0.2,0.07
119,0.15,0.16,0.14,0.12,0.15,,0.15,0.21,0.22
120,0.1,0.22,0.17,0.12,0.12,,0.22,0.16,0.24
121,0.19,0.19,0.18,0.1,0.19,0.36,0.27,0.37,0.32
122,,,,,,,,,
123,0.23,0.18,0.25,0.21,0.21,0.15,0.13,0.16,0.22
124,0.07,0.2,0.2,0.18,0.13,0.11,0.2,0.21,0.21
125,0.29,0.34,0.42,0.33,0.43,0.19,0.37,0.35,0.39
126,,,,,,,0.08,0.09,0.13
127,0.11,0.11,0.17,0.2,0.15,0.17,0.3,0.26,0.33
128,0.32,0.26,0.36,0.25,0.26,0.23,0.37,0.3,0.37
129,0.05,,0.09,0.1,0.25,,0.24,0.17,0.11
130,0.06,0.06,0.05,,0.11,,0.09,0.14,0.16
131,0.23,0.32,0.23,0.26,0.34,0.3,0.32,0.27,0.21
132,,,,,,,,,
133,,,0.05,,,,0.11,0.09,0.12
134,0.11,0.08,0.07,,0.16,0.12,0.17,0.17,0.17
135,,0.06,0.07,0.12,0.33,0.25,0.12,0.13,0.16
136,0.1,0.14,0.11,0.14,0.14,,0.18,0.1,0.2
137,0.16,0.27,0.28,0.3,0.22,0.21,0.38,0.41,0.4
138,0.05,0.1,0.13,0.1,0.15,,0.07,0.11,0.12
139,0.17,0.11,0.11,0.15,0.21,,0.16,0.19,0.16
140,0.22,0.33,0.27,0.32,0.37,0.31,0.25,0.38,0.48
141,0.08,0.13,0.11,,0.13,,0.05,0.12,0.08
142,0.25,0.19,0.22,0.47,0.33,0.3,0.44,0.35,0.29
143,,0.07,,,0.16,,0.13,,0.11
144,0.24,0.22,0.33,0.4,0.3,0.32,0.35,0.27,0.29
145,0.22,0.2,0.29,0.28,0.29,0.31,0.33,0.37,0.3
146,0.3,0.24,0.17,0.19,0.27,0.2,0.23,0.37,0.31
147,0.18,0.2,0.35,0.29,0.23,0.24,0.28,0.41,0.33
148,0.16,0.22,0.22,0.24,0.19,0.14,0.25,0.19,0.22
149,0.1,0.12,0.17,0.1,0.12,,0.14,0.13,0.21
150,0.18,0.21,0.21,0.19,0.33,0.24,0.23,0.26,0.35
151,0.46,0.36,0.43,0.55,0.7,0.6,0.7,0.82,0.8
152,0.08,0.06,0.06,,,,0.11,0.15,0.15
153,0.37,0.33,0.31,0.27,0.46,0.42,0.57,0.5,0.59
154,0.16,0.27,0.09,0.21,0.29,0.11,0.31,0.3,0.39
155,0.13,0.17,0.21,0.26,0.34,0.25,0.31,0.31,0.38
156,0.37,0.38,0.4,0.41,0.36,0.44,0.66,0.66,0.63
157,0.14,0.11,0.06,,,,,0.05,0.07
158,0.2,0.44,0.31,0.45,0.54,0.4,0.41,0.59,0.46
159,0.07,0.17,,,,0.12,0.09,0.1,0.18
160,0.34,0.39,0.26,0.25,0.26,0.32,0.35,0.33,0.39
161,0.09,0.19,0.06,0.1,0.24,0.23,0.27,0.28,0.23
162,0.24,0.18,0.3,0.21,0.29,0.19,0.18,0.25,0.26
163,,,0.05,,,,0.1,0.11,0.08
164,0.32,0.26,0.5,0.5,0.4,0.24,0.54,0.45,0.44
165,0.15,0.29,0.19,0.32,0.26,0.23,0.27,0.27,0.42
166,0.09,,0.09,,0.23,0.13,0.12,0.14,0.16
167,,0.07,0.05,,,,,0.1,0.11
168,0.09,0.12,0.16,0.18,0.26,0.16,0.12,0.15,0.18
169,0.17,0.22,0.19,0.2,0.37,0.38,0.48,0.59,0.65
170,0.25,0.17,0.3,0.18,0.27,0.33,0.31,0.36,0.33
171,0.05,,0.08,,,,0.07,0.12,
172,0.4,0.28,0.25,0.37,0.4,0.41,0.73,0.71,0.89
173,0.13,0.08,0.16,0.28,0.18,0.22,0.18,0.13,0.17
174,0.17,0.25,0.25,0.19,0.26,0.15,0.23,0.28,0.25
175,0.12,0.16,0.1,0.16,0.11,0.21,0.16,0.16,0.15
176,0.32,0.25,0.47,0.35,0.45,0.33,0.4,0.48,0.44
177,,,0.1,,0.16,,0.21,0.13,0.15
178,,,,,,,0.11,0.12,0.22
179,0.08,0.1,0.06,0.16,0.15,,0.19,0.2,0.1
180,0.12,0.22,0.1,0.17,0.23,0.15,0.24,0.25,0.25
181,0.11,0.15,0.17,0.12,0.17,0.17,0.27,0.24,0.18
182,0.14,0.07,0.11,,,,,0.08,
183,0.07,0.07,,,0.18,0.14,0.13,0.14,0.15
184,,,0.07,,,,0.06,0.07,0.07
185,0.31,0.23,0.25,0.28,0.2,0.23,0.27,0.4,0.33
186,0.32,0.35,0.31,0.38,0.45,0.27,0.31,0.33,0.48
187,0.09,0.11,0.09,,0.15,0.15,0.08,0.23,0.11
188,0.11,0.22,0.19,0.12,0.38,,0.38,0.38,0.48
189,0.07,0.05,0.08,,,0.11,0.09,0.22,0.16
190,0.16,0.2,0.1,,0.15,,0.13,0.21,0.13
191,0.24,0.25,0.22,0.31,0.29,0.23,0.2,0.28,0.19
192,0.13,0.16,0.29,0.2,0.26,0.26,0.25,0.33,0.35
193,0.11,0.13,0.14,0.12,,,0.21,0.15,0.13
194,0.37,0.35,0.5,0.4,0.43,0.57,0.53,0.5,0.54
195,0.22,0.28,0.15,0.22,0.26,0.17,0.36,0.47,0.36
196,0.32,0.25,0.28,0.31,0.26,0.24,0.28,0.29,0.43
197,0.2,0.18,0.26,0.16,0.33,0.13,0.21,0.24,0.2
198,0.11,0.07,0.09,0.12,0.12,,0.15,0.16,0.05
199,0.2,0.16,0.39,0.28,0.43,0.31,0.34,0.32,0.44
200,0.07,,0.09,0.11,0.11,0.11,0.09,0.09,0.11
201,0.16,0.07,0.17,0.1,0.21,,0.28,0.16,0.18
202,0.28,0.25,0.37,0.42,0.3,0.3,0.4,0.39,0.48
203,0.18,0.18,0.18,0.14,0.26,0.19,0.28,0.34,0.28
204,0.1,0.06,0.16,0.1,0.21,0.17,0.22,0.23,0.29
205,0.07,0.08,0.08,0.1,0.13,,0.14,0.18,0.14
206,0.15,0.13,0.16,0.14,0.17,0.14,0.21,0.2,0.23
207,0.05,0.05,0.09,0.11,0.16,0.15,0.11,0.18,0.15
208,0.07,0.09,0.09,,0.2,,0.24,0.27,0.25
209,0.41,0.34,0.31,0.66,0.45,0.43,0.49,0.54,0.66
210,,0.06,0.05,,,,0.12,0.12,0.08
211,0.4,0.34,0.41,0.38,0.42,0.45,0.36,0.3,0.38
212,0.11,0.14,0.07,,,,0.15,0.19,0.19
213,0.08,0.14,0.07,0.1,0.11,,0.1,0.1,0.13
215,,,0.06,,,,0.06,0.11,0.08
216,,0.06,0.05,,,,0.09,0.07,
217,,0.05,0.06,,0.11,,0.11,0.08,0.15
218,0.12,0.09,0.06,0.12,0.2,0.17,0.19,0.22,0.17
219,0.07,,,,,,,0.09,0.09
220,0.14,0.16,0.2,0.24,0.2,0.24,0.21,0.26,0.33
221,0.15,0.1,0.12,0.1,0.22,0.18,0.19,0.2,0.16
222,,,,,,,,0.06,0.11
223,0.13,0.2,0.15,0.3,0.35,0.18,0.2,0.22,0.24
224,0.13,0.17,0.11,0.14,0.17,0.15,0.21,0.13,0.1
225,0.1,0.06,0.06,0.11,0.27,0.17,0.08,0.14,0.07
226,,,,,,,0.07,,
227,0.3,0.24,0.28,0.39,0.34,0.26,0.29,0.43,0.36
228,0.13,0.05,0.07,,,,0.11,0.1,0.11
229,0.18,0.21,0.36,0.44,0.52,0.51,0.63,0.76,0.72
230,0.11,0.1,,,,0.16,0.15,0.13,0.09
231,0.16,0.2,0.14,0.17,0.28,0.19,0.3,0.35,0.32
232,0.22,0.2,0.22,0.26,0.32,0.19,0.35,0.36,0.48
233,0.1,0.09,0.13,,0.19,,0.22,0.13,0.12
234,0.45,0.39,0.48,0.39,0.57,0.41,0.54,0.57,0.73
235,0.14,,0.12,0.12,0.18,,0.24,0.19,0.23
236,,,0.05,,,,0.08,0.08,
237,0.26,0.27,0.32,0.39,0.42,0.37,0.3,0.54,0.56
238,0.18,0.28,0.34,0.34,0.4,0.2,0.34,0.28,0.39
240,,0.08,,,,,0.08,0.11,0.09
241,0.06,0.09,0.06,,0.21,,0.17,0.16,0.14
242,0.25,0.19,0.24,0.32,0.29,0.15,0.2,0.26,0.3
243,,,,,,,0.1,0.2,0.21
244,0.11,0.17,0.19,0.15,0.24,0.24,0.25,0.36,0.29
245,0.11,0.05,0.09,0.1,0.16,,0.08,0.16,0.08
246,0.13,0.13,0.13,0.23,0.11,0.13,0.23,0.17,0.27
247,0.11,0.05,0.06,,0.12,,0.09,0.18,0.07
248,0.11,0.09,0.09,0.15,0.11,0.14,0.12,0.16,0.22
249,0.07,0.12,0.13,0.2,0.3,0.25,0.16,0.25,0.18
250,0.12,0.16,0.09,0.13,0.15,0.13,0.06,,
251,0.15,0.19,0.16,0.22,0.27,0.22,0.31,0.28,0.21
252,0.06,0.07,0.07,,,,0.09,0.11,0.08
253,0.2,0.12,0.23,0.17,0.23,0.21,0.14,0.35,0.32
254,,,,,,,0.08,0.13,
255,0.25,0.14,0.29,0.21,0.39,0.28,0.28,0.54,0.37
256,0.13,0.24,0.2,0.18,0.26,0.24,0.42,0.6,0.94
257,0.38,0.33,0.42,0.43,0.68,0.5,0.72,0.87,0.85
258,0.25,0.38,0.42,0.38,0.49,0.24,0.37,0.33,0.48
259,0.25,0.29,0.29,0.2,0.27,0.15,0.23,0.28,0.34
260,0.4,0.37,0.36,0.39,0.42,0.26,0.38,0.25,0.43
261,0.25,0.21,0.21,0.14,0.32,0.24,0.34,0.2,0.15
262,0.27,0.19,0.23,0.22,0.17,0.2,0.22,0.24,0.3
263,0.13,0.1,0.09,0.1,0.21,0.11,0.26,0.16,0.15
264,0.14,0.19,0.14,0.16,0.23,0.21,0.21,0.26,0.15
265,0.08,0.09,0.05,0.11,,0.14,0.07,0.14,0.17
266,0.31,0.22,0.39,0.34,0.38,0.38,0.38,0.38,0.33
267,0.61,0.4,0.57,0.49,0.76,0.53,0.61,0.73,0.66
268,0.19,0.2,0.22,0.26,0.21,0.27,0.17,0.19,0.33
269,0.13,0.16,0.12,0.13,0.27,0.13,0.27,0.25,0.2
270,0.1,0.13,0.1,0.11,0.22,,0.18,0.15,0.13
271,0.12,0.14,0.15,0.15,0.18,,0.15,0.13,0.09
272,0.07,0.07,0.1,0.1,,,0.07,0.07,0.17
273,0.09,0.13,0.17,0.2,0.13,0.17,0.15,0.28,0.36
274,0.05,0.07,,,,,0.12,0.09,0.14
275,0.16,0.15,0.12,0.12,0.15,0.16,0.21,0.21,0.18
276,0.25,0.11,0.19,0.19,0.24,0.16,0.19,0.19,0.17
277,0.1,0.22,0.18,0.17,0.14,0.17,0.19,0.31,0.4
278,0.06,0.1,0.1,0.13,,,0.26,0.18,0.21
279,0.06,0.08,,,,,0.13,0.05,0.05
280,0.15,0.28,0.14,0.3,0.26,0.23,0.28,0.38,0.46
281,0.12,0.19,0.08,,0.13,0.13,0.17,0.16,0.22
282,0.19,0.31,0.24,0.2,0.24,0.11,0.27,0.27,0.2
283,0.35,0.34,0.19,0.31,0.25,0.27,0.27,0.41,0.31
284,0.22,0.21,0.19,0.21,0.37,0.21,0.28,0.38,0.26
285,,,,,,,,,
286,,0.05,,0.11,,,0.08,0.08,0.06
287,0.21,0.16,0.13,0.11,0.17,0.26,0.18,0.23,0.22
288,0.07,0.13,0.13,0.19,0.16,0.15,0.15,0.16,0.11
289,0.42,0.31,0.31,0.33,0.49,0.5,0.54,0.7,0.71
290,0.06,0.07,0.09,0.12,0.12,0.12,0.06,0.11,0.12
291,0.28,0.25,0.3,0.21,0.3,0.26,0.28,0.35,0.26
292,0.12,0.11,0.1,0.2,,,0.07,0.16,0.13
293,0.07,,,,0.12,,0.11,0.09,0.12
294,0.08,0.12,0.08,,0.11,,0.06,0.09,0.11
295,0.13,0.19,0.13,,0.15,,0.12,0.13,0.11
296,0.12,0.09,0.18,0.17,0.22,0.22,0.32,0.4,0.39
297,,,,,,,,,
298,0.13,0.09,0.11,,0.11,,0.22,0.08,0.09
299,0.26,0.28,0.25,0.3,0.31,0.28,0.45,0.29,0.36
300,0.07,,,,,,,,
301,0.22,0.26,0.21,0.23,0.24,0.21,0.31,0.26,0.25
302,0.23,0.17,0.16,0.13,0.26,0.11,0.45,0.28,0.32
303,0.12,0.1,0.1,0.1,,0.15,0.19,0.18,0.15
304,0.11,,0.1,,0.12,,0.12,0.12,0.13
305,0.07,0.08,0.08,,0.16,,0.1,0.18,0.18
306,,0.11,,,,,0.13,0.15,0.18
307,0.29,0.44,0.34,0.39,0.38,0.45,0.5,0.47,0.41
308,0.15,0.12,0.13,0.16,0.19,0.13,0.27,0.15,0.3
309,0.29,0.17,0.22,0.3,0.28,0.25,0.34,0.32,0.16
310,0.41,0.31,0.43,0.48,0.38,0.31,0.45,0.35,0.44
311,,0.11,0.07,,,,0.09,0.16,0.11
312,0.17,0.15,0.3,0.21,0.22,0.17,0.25,0.29,0.22
313,0.21,0.17,0.31,0.23,0.26,0.18,0.22,0.17,0.32
314,0.1,0.19,0.17,0.23,0.3,0.13,0.3,0.33,0.26
315,,,,,,,,,
