id,y_2013,y_2020,y_2021,y_2022,y_2023
126,148.33,581.0,734.57,976.1182395,1008.0
127,2587.34,2902.0,3287.19,3161.276948,2653.0
128,4640.27,5731.0,7192.83,3846.440954,4613.0
129,7364.0,6272.0,7756.34,7001.300769,4282.0
130,,,,,
131,4758.58,5916.0,6310.89,7606.63009,6267.0
132,2008.99,1899.0,2254.73,2506.269526,2009.0
133,1707.34,2400.0,2036.68,1454.450255,1211.0
134,1276.05,1737.0,1914.56,1870.992681,1514.0
135,,,,,
136,4063.95,4738.0,6704.07,6056.130522,5192.0
137,2117.26,4233.0,9124.95,4789.532468,4433.0
138,2848.22,2254.0,2110.26,2600.609145,2298.0
139,2818.52,3643.0,4105.42,3105.624733,3439.0
140,6983.89,7876.0,8119.12,6397.939343,8015.0
141,1817.75,2059.0,2071.6,2665.343888,1793.0
142,2299.84,3588.0,4398.22,5012.307082,3583.0
143,4800.93,3292.0,9103.66,3818.530814,4364.0
144,3177.7,1229.0,2737.19,3933.148257,3605.0
145,1072.77,1122.0,1305.73,1393.908406,1254.0
146,4070.96,4960.0,4882.79,4397.025197,5415.0
147,4029.53,4413.0,4976.18,4858.629992,5298.0
148,6154.68,5153.0,6408.04,7119.953915,5138.0
149,401.75,433.0,570.9,809.3393844,636.0
150,3491.34,4500.0,3730.48,4996.207092,4566.0
151,7374.85,6714.0,6576.45,7715.31114,6919.0
152,1665.75,1897.0,2519.44,1891.427142,2440.0
153,7118.52,10014.0,9997.11,10677.58832,9071.0
154,4168.27,5196.0,5884.18,5839.338267,5822.0
155,3958.63,5136.0,6888.11,8784.540085,7839.0
156,4926.25,6072.0,9374.07,8628.738216,7787.0
157,1458.85,1382.0,1579.25,1504.825884,1826.0
158,5078.36,6237.0,6677.25,4858.947085,3574.0
159,1934.52,2394.0,2849.56,3022.648438,3040.0
160,5876.11,6741.0,5241.28,6111.209162,5673.0
161,543.78,1083.0,1192.77,1119.485554,1039.0
162,4663.23,5697.0,7319.87,6990.265884,4822.0
163,1266.85,1999.0,2523.35,2244.547264,1927.0
164,4049.92,4366.0,4835.22,3775.786921,3739.0
165,1653.04,2500.0,2708.42,2603.210729,2391.0
166,850.25,1056.0,1100.76,1254.06221,706.0
167,772.16,905.0,1043.04,1040.356983,602.0
168,3321.75,3813.0,3865.95,4124.814481,3221.0
169,2323.89,3306.0,4042.81,4840.829579,2993.0
170,3567.62,3371.0,3940.02,4462.190271,3743.0
171,1231.23,1547.0,1654.59,1248.947157,1025.0
172,3893.1,4575.0,6286.38,6035.071622,4977.0
173,2230.03,3150.0,4522.76,3367.605504,3249.0
174,2218.58,3121.0,3426.81,3123.904737,2298.0
175,5558.3,7164.0,6667.2,5963.026411,5959.0
176,6805.7,5967.0,8180.91,7651.242002,6490.0
177,5583.51,5656.0,5597.87,5112.166107,5333.0
178,1140.11,1085.0,1316.18,1181.341488,1085.0
179,5245.32,7690.0,5094.12,6156.233383,5887.0
180,3493.42,3544.0,4693.75,4175.981096,4324.0
181,6160.44,6081.0,7139.97,6445.339517,6005.0
182,1395.84,1823.0,1613.59,1503.364871,2312.0
183,1196.99,1463.0,1825.52,1713.768665,1653.0
184,4550.14,4478.0,5543.38,5187.517766,5533.0
185,,,,25.97595965,23.0
186,5672.44,6850.0,7886.14,7187.079371,6685.0
187,2633.32,2482.0,3074.84,2446.077848,2039.0
188,2342.19,2931.0,3395.72,3301.001478,2302.0
189,460.71,407.0,987.95,514.6948439,478.0
190,2005.1,2847.0,4496.1,3014.303548,3050.0
191,4469.21,4924.0,5426.42,6431.160655,4940.0
192,3541.53,6555.0,6356.78,6603.129339,5936.0
193,3068.22,4049.0,2562.97,3147.828625,3413.0
194,5391.56,5611.0,5540.26,3618.374192,5058.0
195,2936.16,3593.0,3652.36,3034.209029,2869.0
196,2737.04,4105.0,3866.2,3668.137581,3370.0
197,3643.45,3712.0,4759.24,4263.341911,3570.0
198,3159.34,2536.0,3025.6,3485.98699,3019.0
199,2296.11,2508.0,2564.14,2492.637285,2416.0
200,,,,,
201,6209.1,6482.0,8291.83,6446.933003,6026.0
202,3023.4,3825.0,3972.52,3580.222482,3257.0
203,3360.6,5768.0,6582.57,6368.169537,4712.0
204,2648.82,2557.0,2701.6,2965.200301,3250.0
205,2620.82,3433.0,4435.84,3579.395361,3281.0
206,2563.01,2456.0,2418.46,2132.590201,2362.0
207,56.38,318.0,335.88,355.2577697,380.0
208,6952.66,7339.0,7586.14,5463.798828,4498.0
209,5425.37,6821.0,7356.22,6111.715082,5958.0
210,1155.89,1102.0,1561.66,1597.249772,1321.0
211,3960.93,9600.0,6299.93,6453.709458,6156.0
212,1919.84,2329.0,2738.61,2389.598474,1900.0
213,3861.37,2823.0,3580.46,3709.540822,2774.0
215,2964.11,2827.0,3005.4,2988.201361,2662.0
216,2073.75,1784.0,2041.03,2412.570654,1740.0
217,4101.32,3893.0,4721.05,4294.530626,4117.0
218,4894.74,4725.0,5221.95,6394.423876,5603.0
219,1472.22,1635.0,1718.95,1657.985718,1554.0
220,2652.49,2849.0,3060.31,3151.783262,3047.0
221,2616.0,2825.0,3008.84,3028.34221,2966.0
222,4844.05,6787.0,6693.81,5997.022284,6204.0
223,4217.59,5174.0,4830.89,5831.49805,4536.0
224,4262.08,3218.0,3908.08,3998.470624,3273.0
225,,,,,
226,1512.93,1591.0,1859.77,1897.306732,1416.0
227,5350.25,5655.0,6149.47,6348.025637,6846.0
228,,1307.0,1797.44,4185.414663,4946.0
229,6867.56,11824.0,16932.87,18397.35663,13163.0
230,1655.56,1965.0,2298.62,1776.264357,1883.0
231,3416.44,4379.0,5752.34,4786.67515,4930.0
232,5172.71,6881.0,7905.05,8806.508612,7990.0
233,4675.67,5171.0,5317.05,6396.743887,3797.0
234,11063.01,11398.0,10246.44,8832.549621,10495.0
235,5910.63,12714.0,6379.35,7612.470086,6067.0
236,3272.66,3056.0,3861.36,3110.938538,2943.0
237,5332.6,9473.0,8150.88,9338.780399,7674.0
238,5056.82,6512.0,7501.78,7901.747195,6249.0
240,4283.62,4086.0,4966.07,5119.255243,4347.0
241,5468.99,5829.0,6968.66,5720.554717,6339.0
242,2572.22,3742.0,4611.45,4007.568576,5028.0
243,264.49,2649.0,4431.62,4683.814497,3176.0
244,4549.64,5470.0,5949.98,5689.17641,5733.0
245,1631.67,1808.0,1864.3,1368.799373,1509.0
246,2187.89,2401.0,2449.69,1848.49883,2013.0
247,259.34,172.0,204.75,205.4955673,185.0
248,330.14,289.0,338.23,258.85097,302.0
249,354.9,422.0,396.5,333.388543,319.0
250,1683.78,2012.0,2132.27,1860.71493,1664.0
251,3848.27,5073.0,5540.93,5384.401405,5917.0
252,2703.01,2452.0,2738.17,2555.615092,2804.0
253,3994.9,3630.0,7616.41,5097.880506,4637.0
254,818.41,276.0,314.48,325.5035063,252.0
255,6636.88,5637.0,8505.55,8787.415768,7347.0
256,,,,,
257,3765.37,5365.0,5763.47,4907.964977,4056.0
258,7390.36,7807.0,8674.26,7892.848828,7479.0
259,2552.55,4108.0,4622.24,5485.965116,4185.0
260,5875.84,6843.0,7264.49,6803.940244,8132.0
261,6048.38,6123.0,7243.11,7544.67655,6495.0
262,8606.96,9913.0,10045.19,9856.254552,6324.0
263,8037.1,6986.0,7640.52,8887.421658,6615.0
264,2078.47,3261.0,2993.87,2363.36657,2249.0
265,3238.41,3543.0,4157.55,4607.486131,4258.0
266,4433.59,5208.0,4696.56,6002.986846,3814.0
267,8011.29,9325.0,11422.1,9800.108382,7090.0
268,4430.3,5007.0,6812.83,5631.046881,5492.0
269,5298.63,6573.0,7648.65,7671.842301,6599.0
270,,,,,
271,3176.71,3086.0,2964.0,3094.566747,3091.0
272,,,,,
273,1961.75,3385.0,3414.81,3775.5547,2789.0
274,,,,,
275,2779.73,3593.0,3603.82,3076.536795,2625.0
276,3495.51,4254.0,4849.8,4693.896804,4853.0
277,2874.63,4747.0,5135.56,6037.182256,6495.0
278,708.16,1215.0,1308.87,1051.084291,1069.0
279,,,,,
280,2122.3,4474.0,8037.7,5339.395148,4368.0
281,218.58,409.0,454.91,369.9537383,404.0
282,2777.1,3818.0,4184.77,4494.695296,3741.0
283,4010.52,5688.0,6734.14,6993.254678,5430.0
284,2154.19,2683.0,3286.54,4766.293174,3628.0
285,,,,,
286,,,,,
287,,,,,
288,1329.37,1277.0,1423.35,1455.204309,1756.0
289,8257.1,11592.0,16748.86,18104.2384,12752.0
290,1909.42,1346.0,2001.43,1894.331803,2261.0
291,1132.05,1352.0,1498.16,1416.85959,1406.0
292,1701.1,1890.0,2129.25,1788.916618,1316.0
293,2389.42,2371.0,3130.76,2310.605772,2508.0
294,1023.12,1327.0,1599.0,1632.768263,1542.0
295,1583.73,2056.0,1871.94,1760.906062,2505.0
296,2409.21,4543.0,4816.77,5284.811813,4857.0
297,1561.53,1199.0,1597.32,1266.928857,575.0
298,274.03,288.0,425.77,403.9771341,330.0
299,4976.82,6581.0,7254.9,6934.995068,5639.0
300,,53.0,58.48,42.69789408,21.0
301,5644.93,6479.0,6818.22,6477.20591,5837.0
302,6692.27,5590.0,7782.61,5694.231522,5065.0
303,1156.11,1359.0,1319.29,1074.160746,1078.0
304,,68.0,71.63,63.15379117,75.0
305,2201.97,1171.0,1938.62,2876.512626,2411.0
306,470.68,222.0,697.84,411.5607002,453.0
307,5575.89,6568.0,11448.94,8316.024967,6038.0
308,3101.92,4224.0,4261.1,3599.667623,3648.0
309,3620.49,3075.0,3570.85,4029.851174,3628.0
310,4926.85,4633.0,5460.15,6553.184083,4631.0
311,3244.77,4017.0,4732.49,3961.240413,3763.0
312,1845.1,2113.0,1838.95,1728.860294,1679.0
313,3255.01,3958.0,4544.12,4446.299891,3248.0
314,3612.99,3656.0,3201.22,3175.908924,3221.0
315,1370.85,2028.0,2416.86,2410.676232,1985.0
316,4042.85,4306.0,7667.59,5335.704933,4933.0
317,4462.68,2235.0,2308.39,2346.738999,1807.0
318,5374.36,4951.0,5382.9,5293.005688,6265.0
319,6720.11,8134.0,7141.12,9416.044592,7086.0
320,2917.92,4252.0,3238.25,4044.474419,3762.0
321,2457.26,3394.0,3712.98,2720.321047,2477.0
322,2958.19,3264.0,4833.75,3941.50607,3627.0
323,5374.25,5547.0,6835.07,6656.133939,6604.0
324,3480.93,3707.0,4840.0,5096.406223,5052.0
325,5416.66,6044.0,8344.17,8935.794113,8492.0
326,1601.32,1979.0,2356.11,2352.331215,1956.0
327,2083.45,2920.0,2058.36,2603.824995,2344.0
328,2613.53,2926.0,3259.18,3073.804065,3577.0
329,3518.47,4614.0,5581.93,5212.780959,4711.0
330,3431.89,5916.0,5939.74,5728.297024,5187.0
331,1193.64,1683.0,1892.66,1721.469868,1661.0
332,2758.68,3919.0,8550.82,4580.924531,4147.0
333,7303.73,8484.0,9416.88,9849.704784,7732.0
334,,,,,
335,6646.41,7317.0,8041.98,6769.268347,7456.0
336,4505.48,5314.0,6881.05,6939.395812,7844.0
337,3432.27,4100.0,8346.76,4452.748571,3635.0
338,1231.84,779.0,1099.42,709.2861586,964.0
339,220.88,774.0,791.59,853.6430432,862.0
343,4112.0,4799.0,5992.74,6120.295043,5258.0
344,1940.49,2348.0,3521.85,2827.55436,2426.0
345,2012.11,2731.0,4654.49,3260.156841,2924.0
346,5244.6,5238.0,5855.65,5993.49785,5530.0
347,1346.79,1669.0,1755.85,1881.674218,1868.0
348,7611.78,8668.0,12036.67,9656.244134,9488.0
349,2595.18,2408.0,2062.32,2844.822416,2110.0
350,3422.52,3524.0,3611.42,3592.815501,3666.0
351,2964.66,3018.0,3613.06,4291.810971,2996.0
352,1549.37,1622.0,1691.2,1215.163671,1482.0
