id,y_2022
2,675
3,3881
4,
5,179
6,512
7,
8,636
9,46
10,818
11,214
12,1018
13,1220
14,945
15,31
16,1086
17,566
18,751
19,245
20,391
21,1024
22,917
23,484
24,41
25,191
26,215
27,270
28,
29,59
30,997
31,200
32,
33,524
34,279
35,165
36,188
37,364
38,128
39,249
40,761
41,299
42,371
43,156
44,321
45,831
46,673
47,872
48,314
49,361
50,635
51,414
52,678
53,745
54,
55,75
56,139
57,348
58,286
59,865
60,1694
61,115
62,
64,1976
65,1152
66,1128
67,666
68,665
69,406
70,137
71,1106
72,1196
73,271
74,187
75,296
76,128
77,1261
78,336
79,657
80,1200
81,
82,600
83,416
84,75
85,445
86,1100
87,253
88,117
89,187
90,582
91,371
92,1226
93,542
94,109
95,512
96,1499
97,624
98,209
99,171
100,296
101,529
102,174
103,606
105,
106,429
107,766
108,245
109,259
110,598
111,1033
112,
113,493
114,410
115,551
116,633
117,532
118,28
119,101
120,538
121,727
122,
123,413
124,368
125,446
126,265
127,787
128,583
129,137
130,99
131,145
132,136
133,264
134,247
135,490
136,162
137,257
138,44
139,436
140,395
141,188
142,754
143,
144,781
145,
146,259
147,299
148,214
149,129
150,286
151,335
152,71
153,175
154,575
155,789
156,222
157,331
158,437
159,265
160,434
161,913
162,290
163,450
164,1177
165,783
166,239
167,186
168,304
169,431
170,77
171,288
172,941
173,87
174,
175,136
176,181
177,81
178,1777
179,
180,123
181,404
182,61
183,289
184,114
185,1091
186,202
187,180
188,305
189,753
190,269
191,375
192,334
193,276
194,320
195,1305
196,182
197,436
198,337
199,1147
200,426
201,101
202,178
203,100
204,177
205,
206,387
207,2108
208,
209,687
210,1005
211,236
212,244
213,
215,
216,78
217,
218,691
219,772
220,374
221,820
222,
223,261
224,758
225,188
226,180
227,
228,
229,361
230,885
231,470
232,687
233,768
234,430
235,332
236,438
237,450
238,251
240,482
241,
242,190
243,
244,153
245,214
246,1046
247,364
248,754
249,477
250,109
251,78
252,
253,293
254,644
255,536
256,196
257,887
258,387
259,911
260,557
261,148
262,
263,53
264,363
265,141
266,287
267,418
268,266
269,349
270,575
271,90
272,920
273,160
274,412
275,576
276,
277,
278,720
279,304
280,374
281,289
282,321
283,338
284,680
285,
286,
287,1037
288,219
289,263
290,222
291,1005
292,350
293,226
294,352
295,230
296,78
297,
298,472
299,425
300,487
301,204
302,436
303,779
304,310
305,
306,447
307,628
308,
309,89
310,147
311,365
312,481
313,182
314,518
315,902
316,767
317,124
318,167
319,271
320,52
321,337
322,111
323,250
324,36
325,488
326,187
327,374
328,
329,158
330,272
331,892
332,217
333,102
334,456
335,176
336,879
337,225
338,1228
339,1285
343,467
344,296
345,352
346,541
347,298
348,150
349,600
350,216
351,182
352,496
353,
354,816
355,952
356,376
357,515
358,1357
359,27
360,208
361,709
362,739
363,935
364,40
365,223
366,276
367,2184
368,355
369,225
370,1018
371,1547
372,782
373,28
374,560
375,78
376,474
377,396
378,1212
379,2
380,162
381,1337
382,349
383,618
385,942
386,347
387,544
388,1049
389,1992
390,511
391,8
392,538
393,1353
394,658
395,611
396,106
397,1020
398,123
399,499
400,35
401,82
402,85
403,
404,377
405,305
406,143
407,
408,
409,
410,234
411,157
412,
413,30
416,608
417,242
418,301
419,
420,386
421,
422,763
423,
424,
425,
426,378
428,
430,916
431,222
432,82
433,
434,93
435,
436,
437,660
438,516
442,145
443,67
444,241
445,100
446,
447,205
448,893
449,
450,148
451,68
452,51
453,381
454,62
455,82
456,453
457,
458,61
459,91
460,244
462,
463,336
464,628
465,287
466,152
467,220
468,
469,
470,140
471,894
472,
473,409
474,174
475,164
476,6762
