id,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2021,y_2022,y_2023
2,15.0,14.0,15.0,33.0,67.0,68.0,13.0,24.0,24.0
3,95.0,96.0,117.0,99.0,143.0,142.0,85.0,88.0,115.0
4,19.0,19.0,25.0,28.0,50.0,62.0,24.0,32.0,33.0
5,4.0,6.0,9.0,11.0,8.0,7.0,3.0,8.0,4.0
6,17.0,11.0,17.0,21.0,22.0,25.0,5.0,16.0,19.0
7,18.0,17.0,10.0,,,10.0,14.0,15.0,11.0
8,18.0,23.0,20.0,13.0,10.0,15.0,8.0,10.0,6.0
9,3.0,2.0,4.0,,8.0,5.0,11.0,6.0,8.0
10,25.0,22.0,31.0,35.0,38.0,31.0,10.0,12.0,19.0
11,61.0,81.0,82.0,89.0,80.0,79.0,54.0,68.0,63.0
12,23.0,22.0,25.0,29.0,33.0,40.0,8.0,13.0,22.0
13,31.0,29.0,32.0,28.0,45.0,41.0,15.0,17.0,29.0
14,42.0,44.0,39.0,39.0,43.0,34.0,13.0,25.0,27.0
15,26.0,24.0,24.0,35.0,18.0,21.0,20.0,25.0,15.0
16,47.0,60.0,82.0,93.0,116.0,121.0,37.0,68.0,63.0
17,38.0,46.0,44.0,47.0,47.0,32.0,9.0,29.0,40.0
18,59.0,57.0,67.0,56.0,63.0,53.0,33.0,43.0,60.0
19,54.0,55.0,50.0,58.0,49.0,52.0,40.0,44.0,45.0
20,50.0,46.0,68.0,56.0,62.0,71.0,64.0,80.0,84.0
21,43.0,46.0,58.0,49.0,31.0,28.0,14.0,24.0,19.0
22,3.0,4.0,3.0,,6.0,11.0,1.0,2.0,3.0
23,14.0,14.0,23.0,13.0,18.0,11.0,1.0,9.0,13.0
24,9.0,17.0,12.0,10.0,9.0,7.0,7.0,10.0,13.0
25,94.0,91.0,95.0,99.0,117.0,134.0,67.0,79.0,69.0
26,48.0,45.0,47.0,49.0,52.0,41.0,20.0,34.0,36.0
27,51.0,48.0,67.0,47.0,61.0,53.0,14.0,26.0,35.0
28,28.0,23.0,22.0,23.0,12.0,13.0,14.0,11.0,10.0
29,14.0,18.0,21.0,27.0,22.0,28.0,19.0,24.0,22.0
30,24.0,12.0,16.0,10.0,15.0,12.0,2.0,7.0,8.0
31,47.0,42.0,49.0,55.0,56.0,66.0,42.0,41.0,46.0
32,3.0,3.0,,,,,,1.0,
33,6.0,18.0,19.0,15.0,14.0,17.0,12.0,14.0,13.0
34,19.0,27.0,25.0,41.0,47.0,57.0,26.0,49.0,70.0
35,20.0,18.0,19.0,18.0,27.0,22.0,12.0,20.0,20.0
36,32.0,31.0,34.0,34.0,24.0,22.0,14.0,17.0,24.0
37,7.0,12.0,13.0,14.0,11.0,14.0,3.0,13.0,10.0
38,30.0,28.0,28.0,29.0,34.0,37.0,12.0,23.0,20.0
39,53.0,53.0,56.0,59.0,60.0,61.0,15.0,41.0,33.0
40,37.0,30.0,38.0,40.0,27.0,40.0,18.0,32.0,35.0
41,17.0,29.0,23.0,21.0,9.0,11.0,10.0,9.0,15.0
42,47.0,41.0,58.0,63.0,67.0,78.0,63.0,56.0,52.0
43,37.0,35.0,38.0,32.0,25.0,31.0,30.0,26.0,30.0
44,15.0,6.0,11.0,16.0,15.0,12.0,26.0,31.0,24.0
45,70.0,56.0,77.0,102.0,112.0,120.0,53.0,88.0,70.0
46,30.0,24.0,22.0,22.0,24.0,24.0,20.0,16.0,23.0
47,7.0,10.0,13.0,,10.0,8.0,4.0,3.0,4.0
48,41.0,50.0,55.0,43.0,45.0,45.0,16.0,21.0,22.0
49,29.0,24.0,30.0,37.0,30.0,40.0,17.0,19.0,21.0
50,33.0,33.0,47.0,62.0,64.0,53.0,25.0,33.0,42.0
51,2.0,4.0,5.0,5.0,4.0,4.0,3.0,4.0,7.0
52,24.0,13.0,17.0,13.0,12.0,16.0,11.0,15.0,18.0
53,36.0,38.0,38.0,50.0,69.0,65.0,17.0,46.0,38.0
54,26.0,25.0,31.0,40.0,37.0,35.0,17.0,23.0,34.0
55,21.0,23.0,26.0,29.0,27.0,26.0,12.0,22.0,21.0
56,13.0,8.0,13.0,15.0,12.0,18.0,10.0,16.0,14.0
57,16.0,16.0,27.0,23.0,31.0,33.0,21.0,34.0,25.0
58,20.0,21.0,26.0,22.0,24.0,24.0,11.0,19.0,19.0
59,23.0,30.0,31.0,43.0,47.0,36.0,8.0,15.0,19.0
60,16.0,14.0,16.0,21.0,19.0,20.0,9.0,14.0,17.0
61,13.0,5.0,8.0,10.0,13.0,11.0,3.0,8.0,8.0
62,,,,,,,,,
64,17.0,15.0,27.0,30.0,20.0,22.0,6.0,16.0,20.0
65,7.0,8.0,14.0,9.0,6.0,9.0,3.0,10.0,11.0
66,7.0,7.0,14.0,9.0,13.0,14.0,3.0,6.0,6.0
67,3.0,,1.0,5.0,7.0,4.0,2.0,8.0,4.0
68,39.0,34.0,47.0,60.0,43.0,40.0,14.0,38.0,36.0
69,38.0,36.0,30.0,27.0,14.0,19.0,14.0,13.0,16.0
70,9.0,3.0,6.0,11.0,12.0,12.0,0.0,1.0,7.0
71,49.0,35.0,58.0,66.0,54.0,38.0,38.0,57.0,45.0
72,18.0,16.0,15.0,27.0,27.0,30.0,10.0,21.0,23.0
73,52.0,45.0,63.0,65.0,70.0,66.0,35.0,49.0,62.0
74,12.0,7.0,5.0,8.0,,,4.0,7.0,11.0
75,56.0,52.0,63.0,65.0,70.0,72.0,60.0,61.0,74.0
76,52.0,57.0,65.0,62.0,53.0,66.0,43.0,53.0,56.0
77,102.0,109.0,126.0,156.0,122.0,134.0,59.0,98.0,104.0
78,32.0,31.0,40.0,50.0,36.0,35.0,24.0,28.0,28.0
79,19.0,19.0,32.0,35.0,27.0,24.0,11.0,20.0,29.0
80,20.0,16.0,21.0,17.0,14.0,14.0,9.0,10.0,10.0
