id,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2021,y_2022,y_2023
2,20,23,19,31,27,97,149,60,94,100
3,24,24,23,34,21,32,26,21,53,43
4,3,4,1,3,5,12,19,3,9,9
5,35,30,36,32,43,32,23,58,75,61
6,48,61,49,68,57,81,68,79,122,111
7,1,4,1,1,1,2,2,1,21,7
8,3,7,6,6,8,3,4,8,23,15
9,4,3,6,2,3,10,13,6,14,11
10,66,81,67,71,56,58,44,126,150,89
11,10,11,5,9,11,12,20,11,41,21
12,53,77,85,87,111,113,127,255,300,221
13,24,27,29,46,43,58,75,102,175,184
14,49,43,50,51,63,46,85,105,187,124
15,8,9,9,18,14,6,14,9,35,17
16,66,86,82,90,94,131,170,212,310,241
17,61,63,57,84,100,89,111,149,240,179
18,18,14,10,17,25,48,54,18,69,64
19,19,29,22,17,28,23,24,31,57,46
20,29,21,18,27,13,24,32,21,67,75
21,38,47,33,73,60,24,46,137,132,105
22,4,3,6,6,13,5,8,4,17,10
23,28,34,24,37,31,29,45,72,92,81
24,23,23,14,12,16,9,14,27,23,9
25,17,29,21,17,28,34,16,24,52,31
26,20,39,24,26,22,47,58,58,67,68
27,39,46,51,56,67,52,63,83,172,116
28,4,6,4,3,8,4,2,3,11,15
29,9,6,12,18,11,13,10,9,21,20
30,53,70,61,78,94,114,111,161,161,146
31,7,8,3,5,8,2,8,6,25,16
32,5,1,1,1,,2,,1,2,7
33,14,6,15,15,14,19,34,33,50,63
34,51,66,59,55,96,93,125,211,313,248
35,16,21,20,30,21,25,19,55,85,74
36,17,12,16,22,14,21,32,32,52,28
37,29,51,34,32,49,44,44,50,73,63
38,20,23,25,13,19,57,61,49,104,79
39,46,64,56,70,67,79,68,105,197,138
40,43,77,51,67,90,78,92,144,166,137
41,13,18,31,25,20,18,17,20,55,31
42,20,27,9,13,10,28,27,29,80,68
43,19,13,15,17,14,22,26,23,56,46
44,1,2,3,6,3,2,6,3,15,20
45,26,22,19,19,36,47,72,65,164,101
46,24,54,37,30,43,53,63,90,134,107
47,2,,,4,2,7,4,4,14,4
48,36,34,27,47,38,50,50,87,127,101
49,24,46,39,37,37,61,81,96,170,151
50,81,72,74,92,95,115,164,243,265,250
51,4,4,4,4,2,4,9,4,7,8
52,63,74,35,56,58,28,39,95,145,111
53,72,87,80,120,98,160,216,238,332,315
54,35,47,41,37,52,63,74,93,143,117
55,32,17,19,17,29,25,24,20,50,35
56,6,6,7,9,7,13,8,5,14,13
57,21,21,22,34,22,36,55,64,110,119
58,16,40,35,44,40,38,50,123,160,116
59,46,50,41,65,66,61,73,147,149,156
60,27,47,41,34,29,40,43,78,114,100
61,8,19,6,14,23,20,23,29,42,38
62,,,,,,,,,,
64,43,26,24,48,49,56,69,97,163,129
65,5,4,3,6,13,22,18,32,77,64
66,11,14,2,7,15,20,22,39,66,66
67,8,8,7,5,5,11,12,26,68,56
68,26,44,34,55,59,59,61,94,153,137
69,5,2,1,9,10,2,7,2,13,15
70,21,22,22,26,36,50,76,62,79,73
71,90,129,85,81,121,88,151,331,434,333
72,12,11,12,17,42,40,34,69,121,104
73,35,56,51,69,62,81,88,171,212,149
74,4,8,9,1,11,4,6,4,19,18
75,16,12,9,14,18,14,15,18,74,56
76,23,18,19,22,30,37,50,71,164,133
77,44,71,49,58,71,97,128,115,306,264
78,36,23,22,25,36,42,39,43,119,81
79,55,69,42,50,54,55,63,223,225,196
80,11,16,10,17,19,48,38,53,83,45
81,12,11,9,14,13,13,27,20,47,33
82,20,21,18,25,43,34,40,46,104,82
83,42,49,46,61,54,63,81,96,141,100
84,4,6,11,11,11,16,13,10,8,9
85,61,58,53,65,74,80,78,146,171,146
86,50,51,55,60,67,95,90,150,184,167
87,22,29,23,14,9,10,14,13,51,28
88,25,42,31,46,35,48,42,110,114,98
89,24,29,28,36,36,37,35,54,89,54
90,30,28,29,26,43,9,8,29,97,87
91,34,60,58,69,66,43,65,97,162,130
92,7,6,11,9,23,34,40,21,53,50
93,18,18,26,21,36,38,41,66,72,101
94,25,33,26,35,38,24,38,87,145,122
95,17,18,23,24,23,25,34,56,97,70
96,46,37,51,44,69,59,100,133,208,166
97,30,45,46,36,50,55,73,80,146,114
98,18,52,46,50,65,79,69,96,197,171
99,14,22,13,27,19,22,29,36,64,48
100,35,35,36,58,63,49,43,115,105,88
101,44,40,38,77,65,90,92,184,217,182
102,33,40,31,51,29,34,27,79,106,91
103,37,41,28,49,76,63,72,83,107,103
105,11,16,15,21,24,17,30,39,54,46
106,20,49,34,52,28,29,30,110,150,130
107,37,32,38,54,33,56,84,82,130,116
108,15,9,22,24,17,17,25,23,77,62
109,23,31,32,36,18,18,29,64,86,59
110,22,26,23,27,27,36,40,54,79,68
111,32,22,28,27,52,56,104,149,277,218
112,16,27,17,19,14,21,33,43,85,49
113,61,93,72,109,84,115,112,179,248,225
114,25,31,31,52,62,63,58,135,180,129
115,44,48,20,33,48,50,50,39,162,127
116,58,85,75,106,109,93,139,241,383,365
117,69,81,72,114,103,132,143,220,353,294
118,9,19,9,9,18,12,14,3,11,20
119,21,32,28,31,19,33,33,94,116,98
120,24,53,58,81,72,57,54,124,154,143
121,50,47,69,74,91,100,98,165,237,184
122,,,,,,,,,,
123,45,75,53,63,86,85,81,133,202,138
124,36,45,30,41,56,66,62,109,167,146
125,50,59,71,75,63,58,91,200,307,199
126,7,8,8,16,18,17,26,54,86,67
127,37,38,40,44,38,42,87,189,191,159
128,48,74,91,98,109,83,84,192,228,207
129,5,14,8,11,12,15,13,5,28,12
130,10,3,2,5,8,5,8,14,41,39
131,22,30,28,42,34,40,49,38,89,78
132,3,4,5,8,7,24,18,2,8,10
133,4,,4,4,4,6,5,3,17,12
134,23,17,26,20,30,19,25,51,90,67
135,15,15,10,28,40,81,91,119,145,121
