id,y_2013,y_2020,y_2021,y_2022,y_2023
136,7.4167,8.48,12.11,9.909610377,8.46
137,3.864,7.53,16.46,7.798800104,7.21
138,5.198,4.03,3.78,4.25363762,3.74
139,5.1438,6.46,7.35,5.022036961,5.56
140,12.7456,14.03,14.54,10.399482299999999,13.04
141,3.3174,3.66,3.7,4.358472551,2.9
142,4.1972,6.38,7.88,8.187278034,5.83
143,8.7617,5.85,16.48,6.209031973,7.09
144,5.7993,2.15,4.92,6.455317593,5.89
145,1.9578,1.99,2.34,2.276973334,2.05
146,7.4295,8.82,8.73,7.140833424999999,8.82
147,7.3539,7.89,8.95,7.915247439,8.66
148,11.2323,9.17,11.52,11.63795365,8.34
149,0.7332,0.77,1.03,1.328913206,1.04
150,6.3717,8.0,6.64,8.133300778,7.4
151,13.4591,12.02,11.8,12.62339735,11.29
152,3.04,3.36,4.52,3.0754666759999996,3.97
153,12.9913,17.95,17.97,17.45081956,14.75
154,7.6071,9.26,10.56,9.518687347,9.46
155,7.2245,9.09,12.34,14.376135670000002,12.78
156,8.9904,10.78,16.84,14.077885140000001,12.65
157,2.6624,2.47,2.84,2.46096188,2.98
158,9.268,11.01,11.91,7.81058174,5.68
159,3.5305,4.21,5.09,4.93253399,4.96
160,10.7239,11.95,9.28,9.910983356000001,9.17
161,0.9924,1.94,2.15,1.831981145,1.7
162,8.5104,10.18,13.19,11.42861525,7.86
163,2.312,3.6,4.57,3.681877106,3.16
164,7.3911,7.79,8.67,6.139029859,6.06
165,3.0168,4.48,4.86,4.252061514999999,3.9
166,1.5517,1.89,1.98,2.05550452,1.14
167,1.4092,1.61,1.88,1.698916055,0.98
168,6.0622,6.81,6.94,6.728500199,5.23
169,4.2411,5.98,7.32,7.963595236,4.9
170,6.5109,6.05,7.1,7.316958562,6.12
171,2.247,2.76,2.97,2.031084791,1.65
172,7.1049,8.22,11.36,9.905720389,8.16
173,4.0698,5.61,8.12,5.475360801000001,5.28
174,4.0489,5.6,6.17,5.111508221,3.73
175,10.1439,12.79,11.98,9.714487005,9.67
176,12.4204,10.57,14.73,12.46732907,10.56
177,10.1899,10.11,10.04,8.310206723,8.68
178,2.0807,1.93,2.37,1.9323331870000002,1.76
179,9.5727,13.81,9.14,10.0537287,9.59
180,6.3755,6.28,8.41,6.794943931000001,7.02
181,11.2428,10.84,12.84,10.511234689999998,9.74
182,2.5474,3.22,2.85,2.4273533290000002,3.75
183,2.1845,2.6,3.28,2.799303943,2.7
184,8.304,8.0,9.98,8.479379026,9.02
185,,,,0.04300611442,0.04
186,10.3522,12.13,14.14,11.6804375,10.85
187,4.8058,4.48,5.56,4.012953927,3.35
188,4.2745,5.27,6.14,5.407058438,3.74
189,0.8408,0.74,1.8,0.8461776708,0.79
190,3.6593,5.04,8.08,4.880684512,4.95
191,8.1563,8.83,9.77,10.54163449,8.07
192,6.4633,11.78,11.43,10.78026986,9.67
193,5.5995,7.3,4.61,5.139835664,5.58
194,9.8396,10.01,9.94,5.853548576,8.2
195,5.3585,6.45,6.58,4.9537444740000005,4.66
196,4.9951,7.31,6.92,5.944116539,5.44
197,6.6493,6.63,8.57,6.949712874,5.78
198,5.7658,4.49,5.41,5.672790538,4.9
199,4.1904,4.44,4.57,4.033315999,3.89
200,,,,,
201,11.3316,11.65,14.98,10.53107659,9.82
202,5.5177,6.77,7.1,5.798892352,5.27
203,6.1331,10.29,11.82,10.40268837,7.63
204,4.8341,4.59,4.87,4.861422482,5.32
205,4.783,6.13,7.99,5.844306518,5.32
206,4.6775,4.37,4.34,3.478099345,3.84
207,0.1029,0.58,0.61,0.586929947,0.63
208,12.6886,13.23,13.72,8.936686488,7.32
209,9.9013,12.2,13.23,9.945793133,9.66
210,2.1095,2.0,2.83,2.636938502,2.18
211,7.2287,17.16,11.23,10.483440960000001,9.97
212,3.5037,4.16,4.91,3.890916311,3.08
213,7.047,5.0,6.43,6.045005125,4.48
215,5.4095,5.05,5.4,4.893400386,4.34
216,3.7846,3.2,3.69,3.959895201,2.84
217,7.4849,6.95,8.5,7.005130632,6.7
218,8.9329,8.37,9.36,10.44178958,9.12
219,2.6868,2.93,3.09,2.699911582,2.53
220,4.8408,5.07,5.5,5.1448594860000005,4.97
221,4.7742,5.01,5.37,4.925289631,4.81
222,8.8404,12.21,12.08,9.791333688,10.13
223,7.6971,9.18,8.62,9.477388177,7.34
224,7.7783,5.72,7.01,6.530387026,5.32
225,,,,,
226,2.7611,2.83,3.33,3.093993219,2.29
227,9.7642,10.05,10.98,10.30184189,11.15
228,,2.37,3.27,6.912995782,8.15
229,12.5333,21.09,30.49,30.09817489,21.4
230,3.0214,3.47,4.11,2.888703792,3.06
231,6.235,7.82,10.34,7.800232542,8.03
232,9.4402,12.28,14.2,14.365793349999999,13.01
233,8.5331,9.27,9.56,10.47737785,6.16
234,20.19,20.34,18.33,14.32952517,17.1
235,10.7869,22.94,11.47,12.43943198,9.87
236,5.9726,5.5,6.99,5.1067882209999995,4.82
237,9.732,16.89,14.57,15.2356839,12.44
238,9.2287,11.55,13.45,12.8886046,10.12
240,7.8176,7.27,8.93,8.35777021,7.07
241,9.9809,10.42,12.56,9.334152264,10.33
242,4.6943,6.63,8.25,6.497741102,8.19
243,0.4827,4.78,8.02,7.651107531,5.16
244,8.3031,9.78,10.69,9.292263552,9.35
245,2.9778,3.19,3.32,2.201840797,2.43
246,3.9929,4.29,4.39,3.0035024700000004,3.27
247,0.4733,0.31,0.37,0.3334499694,0.3
248,0.6025,0.52,0.61,0.423211728,0.49
249,0.6477,0.76,0.71,0.5400849941,0.51
250,3.0729,3.56,3.82,3.05181667,2.72
251,7.0231,9.07,9.95,8.786697813,9.67
252,4.933,4.38,4.92,4.148272743,4.56
253,7.2907,6.49,13.78,8.341481445,7.56
254,1.4936,0.5,0.56,0.5360993092999999,0.41
255,12.1123,10.11,15.37,14.42946584,12.03
256,,,,,
257,6.8718,9.7,10.42,8.048673242,6.64
258,13.4874,13.82,15.45,12.81034562,12.09
259,4.6584,7.27,8.25,8.939358862,6.78
260,10.7234,12.13,12.97,11.06188697,13.23
261,11.0383,10.81,12.91,12.250844990000001,10.49
262,15.7077,17.76,18.1,16.11091417,10.26
263,14.6677,12.39,13.67,14.49622052,10.7
264,3.7932,5.81,5.37,3.838638949,3.63
265,5.9101,6.29,7.47,7.514626247,6.94
266,8.0913,9.32,8.42,9.806456879999999,6.17
267,14.6206,16.59,20.51,15.97111528,11.45
268,8.0853,8.9,12.22,9.141072743,8.93
269,9.67,11.69,13.75,12.51729197,10.74
270,,,,,
271,5.7975,5.43,5.26,4.991924353,5.0
272,,,,,
273,3.5802,6.05,6.1,6.126794677,4.5
274,,,,,
275,5.073,6.44,6.48,5.023821608,4.26
276,6.3793,7.59,8.71,7.668178685,7.92
277,5.2462,8.55,9.26,9.902527532,10.62
278,1.2924,2.17,2.35,1.7042116680000001,1.74
279,,,,,
280,3.8732,7.98,14.53,8.738829104,7.13
281,0.3989,0.74,0.82,0.6093348831000001,0.67
282,5.0682,6.78,7.48,7.327881354,6.05
