id,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021,y_2022,y_2023
144,25,22,29,29,33,24,27,19,34,21,34
145,20,25,19,28,29,23,15,30,28,25,27
146,18,21,39,42,39,15,20,30,28,17,19
147,10,15,17,23,21,22,22,28,28,34,26
148,24,23,32,14,27,29,24,16,20,22,25
149,16,5,10,13,,13,,10,8,6,17
150,13,15,20,25,20,13,16,33,28,23,26
151,57,45,58,62,62,72,80,92,78,77,71
152,6,7,12,11,,9,10,11,12,15,12
153,55,33,57,61,45,64,42,69,66,53,58
154,38,20,31,42,33,35,31,46,34,32,30
155,25,25,16,21,28,18,19,31,32,38,23
156,32,36,35,49,41,33,28,39,50,42,57
157,7,12,8,7,,,,4,11,5,
158,55,42,35,46,38,33,42,42,32,39,33
159,5,10,16,7,9,,,8,10,11,7
160,25,34,25,39,37,22,22,23,26,25,33
161,22,20,11,13,15,13,12,19,17,17,22
162,11,22,18,19,15,20,12,32,15,18,22
163,4,6,5,3,,,,6,8,8,4
164,18,30,22,36,26,18,19,30,34,27,32
165,22,16,22,15,32,26,19,24,24,19,19
166,10,13,9,7,,,,11,11,10,11
167,5,,12,5,,,,,,7,
168,9,16,13,6,10,17,17,13,13,17,9
169,19,20,30,30,30,29,39,41,51,55,48
170,23,23,32,38,26,40,33,35,38,31,37
171,,9,,11,,,,8,5,6,12
172,30,22,34,44,37,33,45,45,64,55,68
173,11,16,16,19,8,19,22,13,22,10,11
174,16,15,14,20,29,22,21,21,16,19,28
175,26,22,17,15,14,,14,8,18,17,16
176,35,25,40,37,27,46,36,50,48,42,49
177,11,9,8,8,,13,11,15,11,8,17
178,,,3,6,,,,,5,6,10
179,14,12,14,15,11,17,11,11,15,18,9
180,11,15,19,13,18,14,13,23,16,11,21
181,20,16,13,14,18,19,15,18,19,23,21
182,7,7,9,9,,,,8,3,6,12
183,3,,3,3,6,11,,7,5,10,10
184,,,,,,,,,10,,4
185,12,28,17,26,28,17,14,20,19,21,31
186,28,23,28,26,29,31,26,43,23,35,26
187,8,12,13,14,12,13,13,19,14,18,11
188,20,22,15,13,23,25,19,28,23,24,30
189,9,10,9,12,,,10,11,13,13,13
190,11,5,9,12,13,15,17,5,7,8,14
191,38,24,34,25,30,22,25,31,26,27,17
192,8,16,17,18,24,31,19,30,29,36,29
193,11,15,5,15,13,,,13,20,20,16
194,30,51,49,42,37,51,41,41,49,41,53
195,21,25,24,34,35,31,34,38,44,49,49
196,29,28,21,30,25,17,32,24,20,21,28
197,17,17,11,19,22,,16,24,21,20,21
198,5,10,13,15,12,,11,11,9,9,13
199,23,27,34,23,21,28,22,28,24,26,27
200,5,5,5,6,,12,,12,12,5,7
201,20,22,12,19,17,17,19,20,26,26,19
202,18,17,19,28,29,20,23,33,31,24,26
203,10,16,14,21,25,18,24,23,25,20,21
204,9,15,17,19,11,16,25,21,32,20,23
205,16,4,11,6,,,,14,14,18,15
206,13,11,18,13,17,14,14,15,14,18,19
207,6,,9,9,12,10,13,13,14,10,8
208,12,21,24,21,16,18,13,14,23,19,27
209,36,47,37,54,38,40,49,45,56,38,53
210,8,,5,8,,,,10,15,11,13
211,29,21,27,36,43,27,34,42,37,33,29
212,8,7,7,8,12,,,8,5,19,14
