id,y_2022
2,12.21
3,60.76
4,3.23
5,1.38
6,7.14
7,2.56
8,10.65
9,3.71
10,16.11
11,11.17
12,14.3
13,22.73
14,24.29
15,5.91
16,23.57
17,15.43
18,16.7
19,15.31
20,8.22
21,14.28
22,8.88
23,2.74
24,7.74
25,10.23
26,13.29
27,13.69
28,2.67
29,3.43
30,11.44
31,6.69
32,0.97
33,4.8
34,12.48
35,9.29
36,9.93
37,8.99
38,7.96
39,11.85
40,16.14
41,6.03
42,10.54
43,3.81
44,5.72
45,29.52
46,7.64
47,3.72
48,7.58
49,8.4
50,9.64
51,9.76
52,9.07
53,11.41
54,11.96
55,4.98
56,5.11
57,7.38
58,6.43
59,13.2
60,14.6
61,2.74
62,8.07
64,15.27
65,8.01
66,12.87
67,5.34
68,10.65
69,6.01
70,2.93
71,19.5
72,17.86
73,15.06
74,3.69
75,8.37
76,15.27
77,25.8
78,12.59
79,8.1
80,11.83
81,4.8
82,19.12
83,7.2
84,1.47
85,2.91
86,14.96
87,5.17
88,4.18
89,5.85
90,7.56
91,8.29
92,16.97
93,6.84
94,5.13
95,9.4
96,46.67
97,20.94
98,14.17
99,7.41
100,8.43
101,5.24
102,3.87
103,8.26
105,8.08
106,5.69
107,9.19
108,8.82
109,6.38
110,7.49
111,26.8
112,7.81
113,14.64
114,5.23
115,18.57
116,16.17
117,15.41
118,3.59
119,3.21
120,7.31
121,13.88
122,0.0
123,5.14
124,5.47
125,11.72
126,6.25
127,10.56
128,9.41
129,12.71
130,7.82
131,9.19
132,4.21
133,4.27
134,4.91
135,5.04
136,8.69
137,6.67
138,1.84
139,9.13
140,14.5
141,3.61
142,13.41
143,4.99
144,12.33
145,10.89
146,8.39
147,9.26
148,9.15
149,4.82
150,4.91
151,12.11
152,2.42
153,15.07
154,10.27
155,16.14
156,24.82
157,4.36
158,9.87
159,5.38
160,6.27
161,12.81
162,9.69
163,7.87
164,19.73
165,11.66
166,3.11
167,2.49
168,7.02
169,11.98
170,4.81
171,4.93
172,16.63
173,3.8
174,9.46
175,8.44
176,12.17
177,8.1
178,20.62
179,7.55
180,6.88
181,9.16
182,2.34
183,5.87
184,6.63
185,14.31
186,11.79
187,4.55
188,7.28
189,7.12
190,4.95
191,8.81
192,13.96
193,3.71
194,10.73
195,11.52
196,7.32
197,11.74
198,3.35
199,13.64
200,5.19
201,9.58
202,4.55
203,7.72
204,8.71
205,4.39
206,6.81
207,18.22
208,5.21
209,11.28
210,10.56
211,10.89
212,6.09
213,2.97
215,3.01
216,2.71
217,4.41
218,11.56
219,9.23
220,6.18
221,8.41
222,6.02
223,9.45
224,11.57
225,5.29
226,3.52
227,8.42
228,3.18
229,21.79
230,11.87
231,8.48
232,17.9
233,11.33
234,12.62
235,7.24
236,2.73
237,17.75
238,7.39
240,8.48
241,4.4
242,7.21
243,3.68
244,9.48
245,5.69
246,10.89
247,3.21
248,10.59
249,6.82
250,3.39
251,6.31
252,4.62
253,6.82
254,4.91
255,9.27
256,23.9
257,14.87
258,24.57
259,8.57
260,10.34
261,11.45
262,10.77
263,8.47
264,8.41
265,5.23
266,10.35
267,28.96
268,9.55
269,11.08
270,8.31
271,6.16
272,10.7
273,15.17
274,3.57
275,9.95
276,7.68
277,7.34
278,9.66
279,5.1
280,9.2
281,3.14
282,6.28
283,11.64
284,9.56
285,0.0
286,3.78
287,14.35
288,8.91
289,20.18
290,2.62
291,10.38
292,2.0
293,1.9
294,3.6
295,4.73
296,7.26
297,0.74
298,6.05
299,13.74
300,3.92
301,14.22
302,10.28
303,6.75
304,3.37
305,3.91
306,1.76
307,17.42
308,3.35
309,7.1
310,12.26
311,3.36
312,6.83
313,10.62
314,5.85
315,12.41
316,14.98
317,1.44
318,6.27
319,13.77
320,5.28
321,4.17
322,3.58
323,14.57
324,8.13
325,12.73
326,3.68
327,6.15
328,8.85
329,7.22
330,15.07
331,4.75
332,8.52
333,15.28
334,3.89
335,13.32
336,19.69
337,10.82
338,13.46
339,14.69
343,9.44
344,8.29
345,4.46
346,12.11
347,3.6
348,13.45
349,8.73
350,6.47
351,5.16
352,7.83
353,8.69
354,11.34
355,12.93
356,16.48
357,9.74
358,15.72
359,6.82
360,22.37
361,9.49
362,9.62
363,10.08
364,8.12
365,8.06
366,3.76
367,29.75
368,15.96
369,2.8
370,8.49
371,16.16
372,38.21
373,11.51
374,3.93
375,9.29
376,16.93
377,30.54
378,26.3
379,13.63
380,21.76
381,20.16
382,10.98
383,19.68
385,17.42
386,6.49
387,9.28
388,14.41
389,42.3
390,9.82
391,9.58
392,37.46
393,34.25
394,10.81
395,12.64
396,10.71
397,11.8
398,3.23
399,9.01
400,14.04
401,10.65
402,7.76
403,8.19
404,5.6
405,13.24
406,8.04
407,6.58
408,15.25
409,10.79
410,6.2
411,4.22
412,2.77
413,14.16
416,7.39
417,13.83
418,11.05
419,10.01
420,10.71
421,7.58
422,14.76
423,12.56
424,5.05
425,5.35
426,10.88
428,7.96
430,13.34
431,8.94
432,11.78
433,2.83
434,17.26
435,2.91
436,4.96
437,20.79
438,8.24
442,11.03
443,4.49
444,14.38
445,12.85
446,5.61
447,16.47
448,15.93
449,7.74
450,14.99
451,15.62
452,5.69
453,8.97
454,5.96
455,8.34
456,2.23
457,5.04
458,5.61
459,11.27
460,11.76
462,12.28
463,7.75
464,15.57
465,6.46
466,8.27
467,12.43
468,5.14
469,10.26
470,8.42
471,13.21
472,4.73
473,10.78
474,8.17
475,6.62
476,87.52
