id,y_2017,y_2018,y_2020,y_2021,y_2023,y_2024
346,0,0,0,0,0,0
347,2,1,1,1,1,1
348,2,1,0,0,1,1
349,1,1,0,0,0,0
350,0,0,2,2,1,2
351,2,2,0,0,2,1
352,1,1,0,0,0,0
353,2,3,3,2,0,1
354,0,0,1,1,1,1
355,0,0,0,0,0,1
356,3,3,1,1,1,1
357,0,0,1,2,0,1
358,8,8,4,2,4,2
359,1,1,0,0,0,1
360,0,0,1,1,0,1
361,2,2,4,3,1,3
362,0,0,0,2,5,3
363,3,4,3,1,1,1
364,3,4,2,2,4,3
365,1,1,4,4,1,2
366,1,1,0,0,1,3
367,6,7,5,4,6,5
368,1,1,0,0,2,3
369,0,0,2,2,1,1
370,0,0,0,0,1,0
371,1,2,2,2,1,2
372,7,6,7,6,10,3
373,1,2,0,0,1,0
374,1,0,0,0,2,2
375,2,2,1,1,5,4
376,1,1,0,0,2,1
377,4,5,4,3,3,5
378,18,15,9,10,12,10
379,0,0,0,0,0,1
380,7,8,2,0,5,3
381,3,2,3,3,4,2
382,2,2,3,4,5,4
383,0,1,2,2,0,0
385,2,2,2,2,1,1
386,2,2,0,0,4,3
387,1,1,2,2,1,2
388,5,5,4,4,2,2
389,5,4,5,5,5,8
390,0,1,2,1,1,1
391,4,4,3,2,3,1
392,10,10,6,6,5,11
393,4,5,4,4,11,5
394,0,0,2,2,0,0
395,0,1,0,0,0,0
396,1,1,0,0,1,1
397,0,0,0,0,0,0
398,3,3,0,0,0,0
399,2,2,2,1,0,0
400,0,2,1,1,2,2
401,2,2,1,1,2,1
402,0,0,0,0,0,0
403,1,1,1,2,1,0
404,3,3,0,0,0,0
405,4,4,0,0,1,1
406,3,4,1,0,0,0
407,1,0,0,0,0,0
408,0,0,0,0,0,1
409,10,11,0,0,1,0
410,1,4,0,0,0,1
411,1,0,1,1,1,1
412,1,2,0,0,1,0
413,0,0,1,1,0,0
416,1,1,0,0,0,0
417,2,3,2,3,2,1
418,1,2,1,1,0,1
419,3,2,3,2,2,1
420,1,1,1,1,0,0
421,1,0,0,0,1,0
422,1,0,0,0,0,0
423,0,1,0,0,1,1
424,2,1,0,0,1,1
425,1,1,0,0,1,0
426,1,2,1,0,0,0
428,1,1,0,0,0,0
430,2,1,2,2,3,3
431,0,0,2,2,2,1
432,3,2,3,2,1,1
433,1,2,0,0,1,0
434,4,2,3,3,1,2
435,0,0,0,0,0,0
436,3,2,1,3,0,1
437,4,1,1,0,1,0
438,6,10,1,1,1,0
442,2,2,0,0,1,0
443,0,0,0,0,0,0
444,0,0,0,0,0,0
445,1,2,2,1,1,1
446,1,1,0,0,1,0
447,1,0,0,0,0,0
448,4,5,0,0,0,0
449,8,7,0,0,1,0
450,2,3,1,2,4,2
451,1,0,0,0,1,2
452,2,2,0,0,0,0
453,5,5,2,2,0,1
454,0,0,0,0,1,0
455,0,0,1,1,1,1
456,0,0,0,0,0,1
457,1,0,0,0,0,1
458,0,0,0,0,0,0
459,1,0,0,0,0,1
460,0,0,0,0,1,0
462,1,1,1,1,0,1
463,0,0,0,0,0,0
464,0,0,0,0,0,0
465,2,2,1,0,0,0
466,1,0,0,1,2,1
467,0,0,0,0,0,0
468,0,0,0,0,0,0
469,1,1,0,0,0,0
470,8,8,0,0,1,0
471,6,4,0,0,2,1
472,6,6,0,0,1,0
473,1,0,2,1,0,0
474,4,2,0,0,0,0
475,4,2,0,0,1,0
476,28,29,27,27,16,22
