id,y_2013,y_2020,y_2021,y_2022,y_2023
2,281.0,145.0,214.0,279.0,460.0
3,838.0,1552.0,1488.0,1413.0,2069.0
4,177.0,334.0,316.0,337.0,306.0
5,68.0,78.0,70.0,114.0,196.0
6,203.0,280.0,268.0,375.0,614.0
7,216.0,364.0,351.0,373.0,435.0
8,271.0,315.0,323.0,344.0,461.0
9,106.0,195.0,196.0,262.0,290.0
10,539.0,727.0,717.0,920.0,1443.0
11,559.0,658.0,615.0,530.0,780.0
12,,,,,
13,248.0,419.0,321.0,300.0,548.0
14,504.0,648.0,600.0,649.0,796.0
15,484.0,606.0,575.0,574.0,802.0
16,460.0,820.0,739.0,681.0,832.0
17,221.0,476.0,492.0,475.0,754.0
18,438.0,701.0,619.0,595.0,740.0
19,903.0,1214.0,1199.0,1161.0,1203.0
20,358.0,640.0,628.0,670.0,657.0
21,127.0,216.0,228.0,255.0,368.0
22,52.0,87.0,84.0,99.0,165.0
23,110.0,156.0,136.0,143.0,253.0
24,147.0,205.0,203.0,229.0,336.0
25,568.0,850.0,827.0,789.0,768.0
26,,,,,
27,386.0,419.0,418.0,445.0,495.0
28,226.0,314.0,323.0,315.0,355.0
29,265.0,378.0,342.0,323.0,379.0
30,21.0,41.0,39.0,49.0,84.0
31,443.0,579.0,521.0,715.0,671.0
32,72.0,106.0,105.0,103.0,108.0
33,19.0,21.0,23.0,23.0,29.0
34,227.0,626.0,628.0,834.0,984.0
35,,,,,
36,582.0,767.0,701.0,603.0,911.0
37,154.0,329.0,366.0,443.0,618.0
38,499.0,575.0,557.0,548.0,846.0
39,385.0,561.0,553.0,570.0,876.0
40,184.0,377.0,376.0,524.0,815.0
41,250.0,225.0,230.0,257.0,378.0
42,312.0,417.0,414.0,406.0,428.0
43,253.0,365.0,353.0,311.0,361.0
44,110.0,135.0,134.0,135.0,151.0
45,592.0,999.0,966.0,950.0,1018.0
46,147.0,323.0,346.0,322.0,410.0
47,7.0,17.0,18.0,16.0,17.0
48,14.0,15.0,14.0,30.0,30.0
49,203.0,228.0,243.0,295.0,386.0
50,243.0,381.0,331.0,364.0,457.0
51,167.0,300.0,286.0,323.0,461.0
52,84.0,95.0,95.0,119.0,152.0
53,261.0,342.0,305.0,316.0,520.0
54,239.0,316.0,332.0,329.0,613.0
55,577.0,643.0,542.0,431.0,599.0
56,105.0,140.0,132.0,144.0,157.0
57,48.0,126.0,115.0,103.0,128.0
58,157.0,175.0,190.0,194.0,234.0
59,203.0,261.0,267.0,307.0,341.0
60,86.0,117.0,123.0,120.0,186.0
61,116.0,181.0,173.0,178.0,281.0
62,,,,,
64,150.0,117.0,95.0,138.0,238.0
65,,3.0,3.0,2.0,3.0
66,26.0,43.0,39.0,47.0,54.0
67,,,,1.0,1.0
68,297.0,271.0,308.0,408.0,461.0
69,172.0,242.0,236.0,222.0,236.0
70,232.0,241.0,243.0,317.0,449.0
71,139.0,177.0,184.0,167.0,243.0
72,124.0,91.0,126.0,153.0,253.0
73,362.0,463.0,416.0,409.0,755.0
74,105.0,268.0,283.0,261.0,346.0
75,127.0,268.0,265.0,253.0,248.0
76,167.0,395.0,396.0,434.0,436.0
77,359.0,451.0,476.0,604.0,596.0
78,287.0,399.0,403.0,345.0,514.0
79,,,,,
80,7.0,14.0,13.0,13.0,12.0
81,203.0,170.0,201.0,259.0,310.0
82,283.0,307.0,324.0,359.0,397.0
83,,,,,
84,,,,,
85,186.0,266.0,262.0,361.0,575.0
86,30.0,47.0,51.0,58.0,98.0
87,148.0,68.0,121.0,181.0,335.0
88,83.0,218.0,223.0,341.0,455.0
89,300.0,310.0,351.0,393.0,567.0
90,129.0,211.0,213.0,201.0,330.0
91,296.0,452.0,431.0,401.0,527.0
92,,,,1.0,1.0
93,,,,2.0,1.0
94,134.0,154.0,182.0,308.0,322.0
95,232.0,292.0,267.0,266.0,349.0
96,326.0,563.0,527.0,598.0,592.0
97,642.0,704.0,733.0,739.0,974.0
98,429.0,739.0,793.0,937.0,1006.0
99,436.0,465.0,429.0,454.0,596.0
100,193.0,303.0,297.0,324.0,557.0
101,26.0,50.0,47.0,64.0,99.0
102,137.0,175.0,170.0,173.0,201.0
103,96.0,115.0,107.0,155.0,240.0
105,97.0,200.0,170.0,172.0,151.0
106,16.0,5.0,11.0,18.0,32.0
107,13.0,15.0,13.0,17.0,22.0
108,210.0,298.0,285.0,337.0,302.0
109,317.0,450.0,468.0,585.0,615.0
110,151.0,90.0,111.0,149.0,250.0
111,350.0,762.0,742.0,684.0,975.0
112,51.0,49.0,47.0,55.0,71.0
113,565.0,841.0,823.0,1046.0,1440.0
114,39.0,67.0,62.0,85.0,188.0
115,839.0,1177.0,1150.0,1212.0,1246.0
116,94.0,105.0,122.0,214.0,232.0
117,396.0,787.0,838.0,833.0,1118.0
118,91.0,226.0,200.0,208.0,255.0
119,240.0,345.0,313.0,332.0,496.0
120,62.0,150.0,149.0,188.0,320.0
121,287.0,354.0,373.0,357.0,584.0
122,,,,,
123,305.0,391.0,389.0,454.0,642.0
124,226.0,292.0,296.0,396.0,667.0
125,296.0,559.0,506.0,531.0,971.0
126,9.0,122.0,118.0,117.0,134.0
127,174.0,183.0,162.0,183.0,251.0
128,149.0,265.0,250.0,336.0,537.0
129,377.0,614.0,618.0,583.0,661.0
130,,,,,
131,323.0,543.0,501.0,560.0,715.0
132,122.0,170.0,180.0,182.0,279.0
133,130.0,220.0,200.0,187.0,208.0
134,97.0,78.0,91.0,124.0,210.0
135,,,,,
136,349.0,515.0,526.0,561.0,520.0
137,215.0,364.0,290.0,333.0,460.0
138,110.0,160.0,166.0,195.0,270.0
139,172.0,238.0,252.0,294.0,455.0
140,405.0,541.0,546.0,593.0,731.0
141,88.0,129.0,117.0,154.0,219.0
142,197.0,238.0,247.0,386.0,398.0
143,328.0,430.0,415.0,392.0,482.0
144,148.0,144.0,140.0,203.0,317.0
145,96.0,104.0,115.0,116.0,116.0
146,294.0,426.0,398.0,451.0,555.0
147,240.0,337.0,310.0,300.0,439.0
148,477.0,614.0,575.0,630.0,576.0
149,30.0,58.0,55.0,83.0,82.0
150,184.0,440.0,375.0,422.0,554.0
151,337.0,841.0,812.0,805.0,874.0
152,148.0,180.0,165.0,145.0,260.0
153,771.0,945.0,847.0,803.0,1064.0
154,484.0,575.0,559.0,543.0,687.0
155,223.0,515.0,611.0,794.0,819.0
156,203.0,529.0,572.0,709.0,1024.0
157,66.0,78.0,77.0,101.0,188.0
158,350.0,468.0,471.0,540.0,812.0
159,78.0,132.0,149.0,203.0,297.0
160,411.0,512.0,485.0,573.0,856.0
161,70.0,112.0,108.0,101.0,122.0
162,337.0,389.0,386.0,400.0,439.0
163,121.0,181.0,186.0,178.0,253.0
164,170.0,220.0,242.0,306.0,455.0
165,136.0,183.0,151.0,142.0,140.0
166,65.0,78.0,67.0,75.0,111.0
167,55.0,75.0,60.0,61.0,94.0
168,125.0,229.0,267.0,316.0,447.0
169,241.0,419.0,418.0,388.0,402.0
170,170.0,357.0,361.0,394.0,354.0
171,108.0,150.0,158.0,174.0,190.0
172,397.0,566.0,568.0,532.0,528.0
173,114.0,223.0,217.0,218.0,259.0
174,193.0,257.0,232.0,237.0,248.0
175,322.0,615.0,590.0,558.0,684.0
176,609.0,726.0,759.0,755.0,774.0
177,489.0,584.0,506.0,462.0,723.0
178,87.0,116.0,116.0,121.0,147.0
179,466.0,588.0,528.0,462.0,556.0
180,238.0,345.0,364.0,487.0,479.0
181,512.0,656.0,632.0,560.0,728.0
182,88.0,139.0,129.0,147.0,230.0
183,90.0,98.0,87.0,83.0,108.0
184,291.0,481.0,554.0,583.0,685.0
185,,,,1.0,2.0
186,449.0,505.0,461.0,476.0,447.0
187,225.0,261.0,227.0,160.0,257.0
188,156.0,340.0,305.0,270.0,367.0
189,35.0,45.0,43.0,41.0,43.0
190,121.0,168.0,180.0,216.0,360.0
191,297.0,401.0,376.0,399.0,519.0
192,248.0,565.0,560.0,568.0,765.0
193,168.0,328.0,304.0,332.0,354.0
194,426.0,586.0,593.0,585.0,625.0
195,257.0,374.0,314.0,246.0,391.0
196,226.0,254.0,251.0,325.0,443.0
197,249.0,268.0,245.0,299.0,418.0
198,251.0,215.0,228.0,243.0,252.0
199,134.0,37.0,97.0,142.0,321.0
200,,,,,
201,523.0,620.0,587.0,514.0,590.0
202,227.0,298.0,271.0,282.0,253.0
203,308.0,559.0,515.0,481.0,522.0
204,116.0,291.0,287.0,317.0,381.0
205,151.0,310.0,310.0,309.0,267.0
206,232.0,264.0,260.0,227.0,225.0
207,3.0,35.0,37.0,34.0,35.0
208,434.0,634.0,640.0,640.0,574.0
209,546.0,617.0,586.0,606.0,704.0
210,87.0,139.0,131.0,152.0,151.0
211,472.0,778.0,874.0,1061.0,1153.0
212,119.0,183.0,184.0,161.0,271.0
213,279.0,305.0,330.0,339.0,320.0
215,191.0,297.0,282.0,291.0,290.0
216,155.0,167.0,174.0,193.0,170.0
217,340.0,393.0,386.0,379.0,422.0
218,438.0,510.0,485.0,522.0,600.0
219,71.0,134.0,122.0,121.0,196.0
220,222.0,232.0,247.0,256.0,269.0
221,160.0,183.0,191.0,209.0,359.0
222,355.0,531.0,503.0,546.0,658.0
223,204.0,381.0,339.0,395.0,587.0
224,341.0,386.0,380.0,416.0,472.0
225,,,,,
226,124.0,166.0,155.0,149.0,218.0
227,424.0,473.0,500.0,577.0,785.0
228,,122.0,189.0,447.0,509.0
229,529.0,1001.0,970.0,1055.0,1518.0
230,91.0,108.0,115.0,132.0,216.0
231,314.0,444.0,477.0,445.0,607.0
232,440.0,643.0,604.0,777.0,1041.0
233,335.0,553.0,511.0,461.0,512.0
234,610.0,795.0,753.0,891.0,1359.0
235,412.0,550.0,502.0,477.0,548.0
236,258.0,356.0,321.0,336.0,339.0
237,369.0,757.0,666.0,681.0,943.0
238,352.0,487.0,516.0,628.0,833.0
240,294.0,366.0,394.0,407.0,520.0
241,302.0,609.0,542.0,499.0,618.0
242,150.0,290.0,282.0,315.0,533.0
243,15.0,264.0,378.0,534.0,658.0
244,244.0,478.0,428.0,461.0,511.0
245,137.0,153.0,140.0,150.0,251.0
246,126.0,171.0,161.0,181.0,288.0
247,10.0,14.0,13.0,15.0,26.0
248,14.0,15.0,12.0,19.0,47.0
249,24.0,26.0,24.0,23.0,32.0
250,149.0,206.0,204.0,147.0,174.0
