id,y_2010,y_2013,y_2014,y_2016,y_2018,y_2019,y_2020,y_2022,y_2023
2,482.83,476.92,501,496.5,488.58,496,504,457,417
3,1661.08,1731.92,1808,1755.5,1748.33,1750,1747,1571,1551
4,345.17,344.92,358,357.5833333,357.83,358,362,354,341
5,147.83,153.33,183,156.5,160.08,164,167,143,138
6,571.17,563.5,662,595.8333333,601.92,608,617,541,512
7,336,338,341,339.0833333,339.33,341,342,323,310
8,416.08,423,438,437,458.5,466,471,443,440
9,229.5,262.75,284,273,272.67,255,260,260,236
10,1156.83,1189.83,1293,1246.5,1236.33,1269,1277,1133,984
11,744.17,756.75,798,796.25,795.5,803,806,743,717
12,,,,,,,,,
13,574,577.33,629,638.5833333,621.25,602,597,560,550
14,813.58,830.25,851,867.8333333,845.83,847,848,813,778
15,772.33,773.33,781,787,775.33,778,777,746,725
16,1025.5,1026.08,1062,1052.666667,1049.33,1040,1033,965,942
17,807.58,829.33,852,846.9166667,837.5,843,846,797,772
18,673.42,684.92,750,720.1666667,738.42,724,736,733,684
19,1103.25,1135,1118,1137.583333,1135.25,1141,1144,1090,1051
20,880.33,881.58,888,905.9166667,886.83,888,887,871,835
21,264.83,321,358,344.6666667,344.83,350,350,322,287
22,158.17,156.58,181,156.25,170.67,207,232,190,174
23,193.58,192.75,202,199.5,200.83,202,202,190,178
24,394.42,373.25,397,374.5,350.58,345,346,299,281
25,833.08,836.5,856,867.25,856.17,858,859,836,822
26,,,,,,,,,
27,647.58,653.08,670,675.4166667,671.67,691,696,677,644
28,245,253.08,264,258.75,252,234,237,241,236
29,250.25,291.5,296,299.4166667,294.83,261,261,290,285
30,99.33,96.5,121,101.8333333,110.17,112,110,105,102
31,562.92,564.58,574,585.9166667,578.5,579,579,562,551
32,69.25,69.08,70,71.83333333,69.58,70,70,66,63
33,,22.75,24,25.41666667,25.58,28,30,27,24
34,538.17,563.17,641,658,970.42,1028,1049,1014,1097
35,355,481.75,627,704.4166667,791.17,862,916,886,991
36,741.92,769.92,795,798.75,791.83,797,796,755,737
37,531.42,538.17,654,589.5,619.92,633,645,569,507
38,791.75,785.92,799,814.1666667,798.08,798,822,789,870
39,846.5,880.17,937,975.25,949.25,956,955,908,879
40,637.33,658.75,716,698.75,712.08,715,724,675,657
41,365.33,366.67,373,376.6666667,368.92,370,372,346,338
42,337.75,337.92,339,341.8333333,338.17,338,338,332,321
43,368.17,384.83,390,389.9166667,389.5,388,389,374,367
44,130.75,143.92,154,155.0833333,157.08,158,161,155,153
45,869,1024.75,1134,1166,1462.42,1567,1568,1520,1452
46,395.92,400.08,408,418.9166667,403.08,404,405,373,373
47,23,19.92,18,22.25,22,22,23,19,18
48,419.75,427.58,444,454.3333333,442.25,438,438,419,405
49,705.5,763.67,814,822,809.5,821,825,763,752
50,403.58,426.17,443,440.0833333,437.17,418,417,413,389
51,362.58,366.92,393,383.5833333,377.58,379,376,350,341
52,181,183.75,190,190.25,190.25,171,172,168,161
53,470.25,481.92,515,527.25,519.67,507,507,497,483
54,508.42,514.83,568,515.75,543.25,547,544,504,499
55,664.08,669,680,690.4166667,680.33,684,679,652,635
56,96,99.67,100,101.1666667,100,101,101,96,94
57,72.5,73.92,76,73.58333333,139.83,147,148,140,132
58,237.17,246.67,250,252.25,249.25,247,247,235,230
59,305.25,318.67,389,389.0833333,385.25,394,397,373,360
60,,,,,,,,,
61,261.92,264.25,275,297.1666667,273.83,277,277,262,255
62,,,,,,,,,
64,156.17,236,238,247.0833333,152.75,232,232,203,202
65,,,,,,,,,
66,,,,,,,,,
67,,,,,,,,,
68,339.25,336.5,343,320.5,341.42,342,342,323,319
69,246,245.83,254,248.5833333,246.83,250,250,235,219
70,480.83,491,517,500.4166667,496.83,495,500,454,410
71,177.17,199.42,205,207.0833333,207.83,208,207,194,186
72,222.25,228.33,228,232.1666667,229.42,232,233,220,204
73,743.83,793.83,890,903.0833333,952.58,986,1100,1119,1174
74,108,106.67,109,110.5833333,108.67,108,108,101,98
75,274.75,370.25,400,408.8333333,400.58,400,399,393,381
76,606.17,890.25,1044,981.25,1046,1045,1136,1097,1117
77,913.58,1033.5,1062,997.5,1057.17,1057,1089,1057,1148
78,430.17,532.17,557,517.5,552.5,548,548,534,527
79,,,,,,,,,
80,131.58,131.08,136,132.3333333,130.83,132,132,116,112
81,274.92,277.17,281,261.25,279.17,280,280,274,270
82,355.5,367.5,423,410.1666667,433.17,422,423,418,412
83,,,,38.5,51.33,52,52,59,53
84,50.33,50.42,54,47.16666667,70.42,67,65,60,55
85,534.92,560.92,651,554.5,571.75,581,579,500,450
86,,,,,12.5,11,11,12,8
87,309.25,425.08,315,319.9166667,321.08,322,322,292,264
88,402.92,415.08,483,437.1666667,464.58,461,464,413,410
89,520.42,526.58,546,544.3333333,542.92,543,543,510,497
90,319.08,324.83,337,335.3333333,332.25,330,330,304,272
91,667.17,666.83,691,692.9166667,682.75,690,690,661,637
92,108.58,109,128,121.5833333,127.42,128,128,117,111
93,,,,,,,,,
94,327.83,333.25,350,344.5833333,343,338,343,313,315
95,349.42,349,354,331.75,354.5,354,355,344,332
96,584.67,587,607,563.6666667,599.58,600,598,577,560
97,995.67,996.25,1011,940.4166667,1005.33,1004,1005,969,943
98,691.75,731.5,823,937.3333333,1058.67,1057,1153,1119,1199
99,617.17,616.67,634,636.1666667,632.67,638,638,604,594
100,564,571.08,604,593.5,589.17,572,571,536,506
101,82.17,83.17,88,88.5,90.25,96,95,91,86
102,281.5,287.25,309,308.5,306,319,320,295,281
103,214.75,215.58,231,236.5,223.5,226,226,211,197
105,143.67,142.83,149,149.6666667,146.75,147,146,134,132
106,35.83,36.25,38,35.83333333,35.83,36,37,33,31
