id,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021,y_2022,y_2023
80,0.18,0.14,0.09,0.1,0.11,0.2,0.11,0.08,0.19,0.13,0.13
81,0.1,0.12,0.07,0.12,0.11,,0.13,0.11,0.09,0.15,0.09
82,0.13,0.26,0.15,0.29,0.3,0.24,0.36,0.26,0.35,0.37,0.29
83,0.12,0.24,0.23,0.18,0.22,0.17,0.18,0.27,0.19,0.16,0.32
84,0.05,0.08,,,,,,0.05,0.06,,
85,0.35,0.33,0.27,0.18,0.19,0.17,0.12,0.17,0.19,0.21,0.23
86,0.31,0.15,0.22,0.18,0.23,0.25,0.2,0.3,0.21,0.15,0.24
87,0.16,0.17,0.15,0.07,,,,,,,0.06
88,0.15,0.1,0.17,0.15,0.14,0.11,0.12,0.15,0.24,0.12,0.15
89,0.2,0.24,0.14,0.23,0.26,0.21,0.18,0.11,0.11,0.2,0.2
90,0.15,0.12,0.1,0.08,0.16,,,0.09,0.07,0.1,0.1
91,0.44,0.34,0.34,0.33,0.42,0.31,0.33,0.35,0.3,0.3,0.33
92,0.06,0.09,0.09,,,,0.14,0.11,0.15,0.1,0.16
93,0.23,0.12,0.22,0.19,0.11,0.13,,0.19,0.13,0.18,0.12
94,0.11,0.15,0.14,0.16,0.13,,,0.17,0.25,0.24,0.14
95,0.15,0.18,0.2,0.26,0.11,,0.17,0.21,0.18,0.27,0.18
96,0.4,0.37,0.37,0.5,0.39,0.36,0.51,0.55,0.42,0.52,0.38
97,0.31,0.35,0.32,0.29,0.29,0.3,0.23,0.37,0.34,0.22,0.25
98,0.25,0.36,0.33,0.39,0.36,0.35,0.38,0.46,0.36,0.51,0.54
99,0.14,0.12,0.21,0.22,0.14,0.22,0.14,0.17,0.15,0.12,0.15
100,0.24,0.22,0.14,0.12,0.27,0.19,0.15,0.23,0.14,0.15,0.16
101,0.23,0.14,0.17,0.2,0.12,0.14,0.15,0.18,0.22,0.22,0.28
102,0.12,0.22,0.21,0.14,0.15,,,0.22,0.16,0.14,0.14
103,0.28,0.19,0.13,0.22,0.25,0.11,0.16,0.19,0.28,0.12,0.11
105,,,0.08,0.1,,0.11,,0.06,0.06,0.09,0.07
106,0.14,0.15,0.12,0.08,,,,0.18,0.23,0.08,0.16
107,0.25,0.26,0.2,0.3,0.29,0.23,0.29,0.16,0.14,0.21,0.3
108,0.29,0.17,0.16,0.18,0.18,0.14,0.12,0.19,0.19,0.14,0.19
109,0.12,0.16,0.33,0.31,0.18,0.2,,0.28,0.16,0.18,0.1
110,0.12,0.23,0.14,0.16,0.15,0.15,0.16,0.12,0.23,0.15,0.16
111,0.31,0.24,0.3,0.3,0.36,0.4,0.44,0.55,0.57,0.65,0.67
112,0.09,0.16,0.1,0.18,,,0.18,0.14,0.09,0.15,0.1
113,0.4,0.54,0.54,0.5,0.58,0.44,0.51,0.48,0.51,0.68,0.51
114,0.15,0.09,0.11,0.06,0.12,0.13,,0.08,0.23,0.2,0.15
115,0.43,0.53,0.7,0.79,0.87,0.92,1.07,0.86,1.1,0.99,1.16
116,0.36,0.36,0.42,0.35,0.27,0.22,0.36,0.44,0.21,0.43,0.44
117,0.49,0.41,0.51,0.62,0.68,0.61,0.57,0.84,0.68,0.72,0.87
118,0.16,0.18,0.14,0.14,0.16,0.13,0.13,0.2,0.17,0.13,0.1
119,0.15,0.14,0.2,0.13,0.2,,0.11,0.2,0.18,0.13,0.18
120,0.21,0.14,0.2,0.21,0.23,0.13,0.14,0.16,0.23,0.13,0.19
121,0.28,0.14,0.21,0.28,0.23,0.28,0.16,0.21,0.46,0.28,0.25
122,,,,,,,,,,,
123,0.27,0.23,0.33,0.32,0.2,0.18,0.14,0.29,0.17,0.25,0.15
124,0.21,0.25,0.21,0.15,0.2,0.15,0.12,0.17,0.21,0.18,0.22
125,0.27,0.34,0.55,0.41,0.37,0.24,0.36,0.45,0.24,0.39,0.34
126,,0.05,,0.06,,,,0.12,0.13,0.08,0.07
127,0.23,0.14,0.11,0.14,0.14,0.12,,0.24,0.34,0.24,0.29
128,0.33,0.22,0.33,0.35,0.28,0.15,0.21,0.39,0.28,0.31,0.33
129,0.09,0.15,0.14,0.09,0.11,0.17,0.12,0.17,0.2,0.21,0.18
130,0.1,0.05,0.11,0.07,,,0.12,0.1,0.1,0.11,0.16
131,0.2,0.32,0.21,0.24,0.31,0.27,0.24,0.27,0.36,0.35,0.3
132,,,,,,,,,,,
133,0.06,0.08,0.08,,,,,0.05,0.08,0.09,0.13
134,0.13,0.08,0.17,0.15,0.15,0.13,0.15,0.18,0.13,0.14,0.16
135,0.1,0.05,0.06,0.1,0.12,0.2,0.17,0.11,0.08,0.15,0.1
136,0.14,0.14,0.08,0.12,0.14,0.14,0.12,0.17,0.12,0.15,0.19
137,0.26,0.25,0.21,0.29,0.26,0.17,0.21,0.3,0.4,0.27,0.34
138,0.14,0.06,0.13,0.07,0.17,0.16,,,0.05,0.07,0.05
139,0.23,0.17,0.19,0.18,0.13,,0.13,0.24,0.15,0.12,0.14
140,0.33,0.35,0.38,0.35,0.42,0.2,0.26,0.39,0.36,0.47,0.26
141,0.05,0.12,0.07,0.11,0.13,,,0.09,0.11,0.08,0.05
142,0.24,0.22,0.31,0.36,0.26,0.19,0.31,0.36,0.34,0.23,0.28
143,0.05,0.08,0.1,0.09,0.12,,0.15,0.08,0.15,0.13,0.12
144,0.32,0.28,0.31,0.34,0.38,0.26,0.28,0.27,0.38,0.25,0.38
145,0.29,0.34,0.21,0.31,0.31,0.24,0.16,0.34,0.34,0.27,0.3
146,0.21,0.24,0.42,0.43,0.4,0.19,0.23,0.32,0.29,0.18,0.2
147,0.16,0.2,0.23,0.29,0.24,0.28,0.24,0.32,0.33,0.37,0.33
148,0.27,0.23,0.33,0.15,0.27,0.32,0.26,0.16,0.22,0.24,0.25
149,0.18,0.05,0.1,0.14,,0.14,,0.1,0.1,0.06,0.18
150,0.16,0.27,0.25,0.26,0.24,0.15,0.19,0.36,0.32,0.27,0.31
151,0.59,0.47,0.59,0.66,0.63,0.8,0.9,0.94,0.79,0.81,0.73
152,0.07,0.09,0.13,0.11,,0.11,0.11,0.14,0.13,0.16,0.13
153,0.57,0.34,0.59,0.64,0.48,0.7,0.5,0.69,0.72,0.61,0.59
154,0.39,0.2,0.33,0.42,0.34,0.37,0.37,0.47,0.36,0.35,0.33
155,0.3,0.3,0.16,0.24,0.3,0.21,0.21,0.34,0.39,0.41,0.29
156,0.39,0.42,0.38,0.56,0.48,0.39,0.32,0.48,0.56,0.45,0.62
157,0.2,0.19,0.11,0.08,,,,0.05,0.13,0.08,
158,0.72,0.5,0.4,0.49,0.49,0.37,0.44,0.47,0.4,0.49,0.37
159,0.09,0.11,0.18,0.1,0.1,,,0.13,0.11,0.13,0.08
160,0.34,0.42,0.31,0.44,0.43,0.27,0.24,0.29,0.34,0.27,0.42
161,0.31,0.26,0.11,0.16,0.18,0.14,0.13,0.26,0.24,0.21,0.27
162,0.18,0.28,0.19,0.2,0.17,0.21,0.16,0.35,0.2,0.21,0.26
163,0.08,0.07,0.08,0.06,,,,0.06,0.12,0.09,0.07
164,0.27,0.47,0.35,0.52,0.34,0.19,0.21,0.35,0.52,0.39,0.45
165,0.28,0.23,0.26,0.19,0.37,0.29,0.22,0.27,0.28,0.2,0.21
166,0.13,0.15,0.09,0.1,,,,0.13,0.11,0.11,0.11
167,0.07,,0.13,0.05,,,,,,0.08,
168,0.15,0.2,0.17,0.09,0.13,0.2,0.2,0.16,0.16,0.17,0.1
169,0.19,0.2,0.31,0.3,0.3,0.33,0.41,0.42,0.52,0.56,0.49
170,0.24,0.23,0.32,0.39,0.26,0.42,0.35,0.36,0.39,0.31,0.37
171,,0.09,,0.11,,,,0.08,0.07,0.07,0.13
172,0.32,0.22,0.34,0.44,0.39,0.35,0.48,0.48,0.68,0.55,0.68
173,0.12,0.24,0.19,0.19,0.14,0.22,0.26,0.15,0.25,0.13,0.14
174,0.2,0.19,0.17,0.22,0.3,0.23,0.22,0.23,0.19,0.23,0.31
175,0.28,0.24,0.17,0.17,0.14,,0.15,0.09,0.19,0.17,0.16
176,0.37,0.26,0.43,0.38,0.27,0.47,0.37,0.5,0.49,0.44,0.5
177,0.11,0.09,0.09,0.08,,0.13,0.12,0.15,0.12,0.08,0.17
178,,,0.07,0.08,,,,,0.05,0.11,0.11
179,0.15,0.12,0.14,0.17,0.12,0.17,0.12,0.11,0.15,0.21,0.09
180,0.13,0.18,0.23,0.14,0.2,0.16,0.17,0.25,0.21,0.14,0.24
181,0.2,0.17,0.13,0.15,0.19,0.19,0.16,0.19,0.19,0.24,0.22
182,0.1,0.08,0.14,0.1,,,,0.09,0.06,0.06,0.12
183,0.05,,0.05,0.05,0.1,0.11,,0.07,0.07,0.12,0.12
184,,,,,,,,,0.11,,0.05
185,0.25,0.31,0.23,0.3,0.32,0.18,0.18,0.21,0.22,0.24,0.38
186,0.38,0.28,0.33,0.33,0.31,0.32,0.3,0.49,0.33,0.36,0.29
187,0.08,0.12,0.13,0.14,0.12,0.14,0.13,0.19,0.15,0.19,0.11
188,0.2,0.25,0.16,0.13,0.24,0.26,0.19,0.29,0.25,0.25,0.3
189,0.11,0.1,0.1,0.12,,,0.13,0.11,0.13,0.13,0.13
190,0.15,0.1,0.1,0.12,0.17,0.18,0.19,0.05,0.09,0.11,0.14
191,0.39,0.26,0.36,0.28,0.32,0.23,0.31,0.33,0.33,0.35,0.18
192,0.11,0.18,0.2,0.19,0.26,0.35,0.29,0.34,0.33,0.39,0.31
193,0.12,0.17,0.05,0.16,0.14,,,0.13,0.24,0.24,0.17
194,0.3,0.52,0.49,0.42,0.38,0.54,0.42,0.44,0.53,0.42,0.54
195,0.22,0.25,0.24,0.36,0.36,0.32,0.37,0.42,0.49,0.52,0.59
196,0.36,0.35,0.29,0.35,0.32,0.2,0.33,0.28,0.27,0.23,0.31
197,0.29,0.24,0.15,0.2,0.27,,0.18,0.29,0.3,0.21,0.22
