id,y_2022
2,11.71
3,73.48
4,5.24
5,2.48
6,8.49
7,4.08
8,12.34
9,3.0
10,16.8
11,10.59
12,12.32
13,19.99
14,17.04
15,8.73
16,22.76
17,12.37
18,16.16
19,18.46
20,13.54
21,13.46
22,12.38
23,7.27
24,4.82
25,12.22
26,15.6
27,11.01
28,6.44
29,4.97
30,12.27
31,8.18
32,2.38
33,5.93
34,10.68
35,11.08
36,12.8
37,9.62
38,9.53
39,9.42
40,13.73
41,6.61
42,12.66
43,5.36
44,5.59
45,24.59
46,9.91
47,8.72
48,8.36
49,7.97
50,10.56
51,11.92
52,7.71
53,11.65
54,7.02
55,6.24
56,3.79
57,6.61
58,5.4
59,13.87
60,20.08
61,4.45
62,0.08
64,26.69
65,11.9
66,14.43
67,7.59
68,12.9
69,10.33
70,4.92
71,14.92
72,19.18
73,12.25
74,6.71
75,11.49
76,10.28
77,21.89
78,10.18
79,7.48
80,17.24
81,5.53
82,13.23
83,7.32
84,2.92
85,7.98
86,12.48
87,7.12
88,4.95
89,4.61
90,8.52
91,9.23
92,16.46
93,5.96
94,3.81
95,12.38
96,27.79
97,17.04
98,14.23
99,7.02
100,7.39
101,7.53
102,3.71
103,8.51
105,10.13
106,5.6
107,9.3
108,5.64
109,9.59
110,10.98
111,20.5
112,8.08
113,18.91
114,5.34
115,18.1
116,18.17
117,18.05
118,4.58
119,6.65
120,8.37
121,12.27
122,0.0
123,10.19
124,8.23
125,13.55
126,6.25
127,12.01
128,9.95
129,10.98
130,9.61
131,8.11
132,3.05
133,5.35
134,4.97
135,6.36
136,6.54
137,6.6
138,3.12
139,7.55
140,10.35
141,4.4
142,12.37
143,5.49
144,12.16
145,7.47
146,6.65
147,10.91
148,9.05
149,4.74
150,6.18
151,12.54
152,2.9
153,15.6
154,12.89
155,17.42
156,17.46
157,4.59
158,11.64
159,4.6
160,10.36
161,10.81
162,7.96
163,8.48
164,16.9
165,9.82
166,4.81
167,3.41
168,8.23
169,10.21
170,4.83
171,5.95
172,18.45
173,3.85
174,5.77
175,7.95
176,11.58
177,11.8
178,22.01
179,9.14
180,5.54
181,12.25
182,2.83
183,4.3
184,6.85
185,11.81
186,9.02
187,3.08
188,7.47
189,7.91
190,4.32
191,10.69
192,13.32
193,7.35
194,10.51
195,18.1
196,7.66
197,9.29
198,7.84
199,13.51
200,6.05
201,9.53
202,5.81
203,6.93
204,7.41
205,3.5
206,6.77
207,24.76
208,6.53
209,15.51
210,13.44
211,11.0
212,4.72
213,6.98
215,3.55
216,3.35
217,4.09
218,14.33
219,12.35
220,6.79
221,12.73
222,6.37
223,7.71
224,12.47
225,4.45
226,4.12
227,8.91
228,5.72
229,16.94
230,9.97
231,10.63
232,15.79
233,14.14
234,16.84
235,8.18
236,9.36
237,14.05
238,8.89
240,9.51
241,5.56
242,5.26
243,2.55
244,7.74
245,5.09
246,13.56
247,4.11
248,8.22
249,5.18
250,4.67
251,6.97
252,4.56
253,8.9
254,7.65
255,12.98
256,28.93
257,16.79
258,15.28
259,13.48
260,13.44
261,8.28
262,11.62
263,9.53
264,8.53
265,5.61
266,11.28
267,21.36
268,8.18
269,12.77
270,7.64
271,4.31
272,9.86
273,9.72
274,5.5
275,11.44
276,6.42
277,7.33
278,8.4
279,6.98
280,7.45
281,6.55
282,7.38
283,11.39
284,12.01
285,0.0
286,2.79
287,12.42
288,9.7
289,17.11
290,3.23
291,11.67
292,4.78
293,4.24
294,4.4
295,5.05
296,7.96
297,0.97
298,6.06
299,13.17
300,6.93
301,10.89
302,11.47
303,9.48
304,3.54
305,4.34
306,4.58
307,13.68
308,4.03
309,6.67
310,9.07
311,6.25
312,6.3
313,6.22
314,7.67
315,11.59
316,14.46
317,1.91
318,6.82
319,10.36
320,3.87
321,4.64
322,3.52
323,10.99
324,5.68
325,12.54
326,4.54
327,6.32
328,6.98
329,6.74
330,8.72
331,11.36
332,7.79
333,10.5
334,4.56
335,13.1
336,25.65
337,9.19
338,15.18
339,15.09
343,10.19
344,7.93
345,7.18
346,11.27
347,3.86
348,11.61
349,9.53
350,6.33
351,6.44
352,8.09
353,10.37
354,10.48
355,12.02
356,18.99
357,13.23
358,25.2
359,9.95
360,17.54
361,10.3
362,12.72
363,13.58
364,11.65
365,6.86
366,4.58
367,35.73
368,11.63
369,4.45
370,12.86
371,29.97
372,44.17
373,11.97
374,11.56
375,10.72
376,14.26
377,22.09
378,28.63
379,12.88
380,19.8
381,23.23
382,9.99
383,16.19
385,20.57
386,9.16
387,11.13
388,17.0
389,36.59
390,9.13
391,9.26
392,38.31
393,33.42
394,14.73
395,11.99
396,10.34
397,11.26
398,4.27
399,11.06
400,9.36
401,6.51
402,5.75
403,9.38
404,8.27
405,14.09
406,10.41
407,6.91
408,12.74
409,11.74
410,10.85
411,4.54
412,2.56
413,11.19
416,8.31
417,10.61
418,12.78
419,11.61
420,11.27
421,6.61
422,14.17
423,10.36
424,6.55
425,6.14
426,8.99
428,8.35
430,17.75
431,8.14
432,9.34
433,3.0
434,13.58
435,2.57
436,5.18
437,23.27
438,18.59
442,8.38
443,4.55
444,9.58
445,9.44
446,4.82
447,14.71
448,17.13
449,11.55
450,13.91
451,16.9
452,5.06
453,9.86
454,5.92
455,8.74
456,7.5
457,3.12
458,4.34
459,8.9
460,10.16
462,11.89
463,8.8
464,17.05
465,5.73
466,9.19
467,10.01
468,0.4
469,7.97
470,10.79
471,14.77
472,6.45
473,11.93
474,9.23
475,8.41
476,112.07
