id,y_2022
2,21.87
3,108.15
4,14.54
5,5.33
6,15.21
7,10.13
8,21.67
9,5.93
10,34.86
11,23.15
12,27.99
13,37.88
14,41.2
15,15.76
16,49.63
17,32.42
18,35.39
19,37.16
20,26.98
21,38.4
22,17.07
23,14.83
24,10.69
25,33.48
26,42.76
27,34.3
28,11.83
29,9.59
30,23.57
31,20.71
32,2.53
33,9.61
34,32.77
35,23.1
36,27.54
37,17.28
38,24.12
39,25.7
40,32.24
41,13.63
42,24.44
43,10.26
44,14.09
45,63.53
46,15.73
47,16.56
48,24.72
49,19.35
50,27.32
51,17.87
52,20.62
53,29.37
54,24.11
55,14.95
56,8.26
57,14.06
58,16.88
59,31.92
60,34.84
61,9.94
62,37.52
64,35.96
65,21.08
66,29.49
67,12.2
68,30.77
69,15.51
70,12.79
71,44.86
72,35.77
73,34.09
74,9.51
75,21.09
76,31.96
77,59.67
78,24.48
79,21.29
80,29.17
81,11.97
82,33.18
83,18.96
84,4.06
85,11.64
86,28.99
87,11.75
88,12.03
89,11.13
90,15.87
91,25.96
92,28.28
93,13.35
94,12.32
95,22.41
96,81.52
97,40.42
98,36.82
99,22.37
100,23.45
101,16.59
102,9.35
103,22.2
105,20.54
106,9.75
107,17.42
108,15.21
109,19.69
110,26.27
111,57.44
112,19.52
113,42.27
114,13.0
115,49.22
116,48.05
117,42.0
118,17.4
119,16.44
120,21.33
121,22.7
122,0.0
123,21.6
124,12.46
125,29.2
126,13.4
127,26.09
128,25.23
129,23.74
130,22.91
131,21.05
132,5.81
133,8.72
134,18.88
135,16.29
136,18.79
137,14.97
138,6.41
139,18.07
140,29.62
141,9.32
142,24.0
143,15.11
144,26.32
145,22.16
146,18.27
147,24.15
148,26.59
149,9.68
150,14.24
151,38.46
152,7.74
153,43.26
154,33.17
155,39.97
156,46.1
157,10.69
158,29.81
159,14.14
160,22.85
161,21.95
162,27.04
163,13.71
164,51.59
165,25.47
166,10.41
167,5.67
168,17.46
169,26.0
170,13.42
171,11.39
172,53.83
173,9.79
174,17.6
175,23.19
176,31.42
177,33.02
178,38.57
179,17.87
180,19.71
181,26.52
182,8.31
183,11.54
184,15.65
185,25.53
186,26.59
187,10.76
188,19.37
189,14.62
190,11.25
191,23.49
192,38.29
193,11.7
194,29.78
195,36.36
196,18.51
197,25.47
198,14.75
199,39.42
200,13.45
201,23.14
202,15.29
203,15.89
204,18.32
205,11.01
206,18.17
207,41.7
208,18.12
209,34.43
210,18.56
211,27.15
212,16.44
213,12.84
215,10.15
216,7.86
217,11.39
218,30.31
219,20.56
220,22.61
221,19.27
222,14.96
223,22.63
224,20.58
225,10.33
226,5.53
227,22.02
228,10.22
229,56.89
230,24.63
231,17.83
232,44.57
233,24.65
234,44.13
235,19.84
236,16.3
237,45.79
238,21.54
240,16.75
241,11.37
242,18.89
243,9.31
244,19.72
245,10.91
246,21.69
247,8.02
248,18.43
249,21.36
250,8.59
251,18.27
252,11.49
253,20.85
254,9.9
255,26.35
256,75.76
257,40.81
258,47.66
259,30.48
260,31.9
261,22.67
262,30.46
263,22.9
264,17.01
265,11.95
266,28.56
267,66.96
268,23.4
269,24.49
270,13.46
271,12.32
272,19.77
273,29.3
274,8.95
275,23.57
276,18.94
277,20.79
278,15.45
279,10.99
280,25.17
281,13.29
282,18.75
283,27.71
284,27.12
285,0.0
286,9.28
287,22.47
288,20.98
289,54.65
290,5.92
291,22.24
292,10.34
293,6.36
294,9.16
295,12.74
296,23.02
297,3.42
298,11.69
299,31.5
300,8.47
301,27.44
302,25.26
303,14.51
304,7.64
305,10.08
306,8.98
307,37.77
308,11.14
309,21.25
310,25.43
311,8.66
312,21.38
313,17.95
314,19.74
315,19.19
316,34.34
317,4.23
318,14.73
319,27.86
320,11.27
321,8.58
322,8.18
323,28.13
324,16.34
325,28.55
326,9.08
327,12.62
328,15.83
329,20.31
330,27.15
331,15.02
332,19.74
333,32.51
334,10.29
335,36.66
336,59.84
337,21.22
338,17.28
339,23.31
343,19.94
344,18.19
345,13.52
346,33.84
347,10.96
348,26.54
349,23.89
350,15.55
351,15.4
352,17.21
353,25.72
354,19.88
355,27.18
356,46.58
357,22.12
358,40.47
359,26.06
360,47.99
361,19.13
362,26.34
363,26.5
364,24.89
365,15.12
366,6.78
367,54.37
368,30.54
369,8.63
370,31.78
371,65.03
372,106.26
373,34.5
374,19.99
375,31.95
376,33.81
377,66.76
378,52.97
379,37.73
380,60.58
381,41.38
382,26.2
383,44.74
385,45.67
386,17.42
387,27.23
388,25.07
389,90.42
390,18.28
391,21.96
392,100.62
393,63.17
394,30.45
395,24.17
396,29.32
397,17.7
398,9.62
399,21.92
400,29.47
401,19.22
402,15.04
403,22.98
404,18.62
405,34.78
406,21.47
407,14.19
408,30.52
409,30.69
410,15.54
411,10.67
412,6.2
413,33.51
416,11.67
417,32.6
418,31.06
419,31.77
420,24.64
421,21.05
422,31.82
423,31.07
424,13.12
425,15.34
426,22.26
428,19.28
430,37.28
431,22.23
432,24.56
433,8.18
434,41.38
435,5.42
436,14.49
437,54.2
438,33.34
442,22.92
443,10.61
444,28.68
445,27.44
446,13.15
447,42.97
448,37.41
449,29.95
450,38.04
451,49.13
452,13.42
453,27.33
454,14.54
455,21.0
456,16.22
457,9.68
458,10.53
459,21.28
460,29.78
462,34.85
463,18.13
464,40.36
465,14.63
466,26.61
467,30.43
468,16.1
469,23.16
470,20.42
471,27.66
472,12.31
473,24.56
474,17.65
475,19.03
476,164.84
